Japanese|Romaji|Russian|Utility|Type
縮む|chidimu|мяться; морщиться|2|
縮める|chidimeru|сжимать; сокращать; уменьшать; укорачивать; морщить; мять; отдергивать; втягивать|2|
茶色|chairo|светло  коричневый цвет|2|
中学生|chuugakusei|ученик школы второй ступени|2|
中学校|chuugakkou|школа второй ступени (с 7- го по 9- й год обучения)|2|
注射|chuusha|мед. инъекция; укол; |2|
注射 する|chuusha suru|делать инъекцию|2|
中旬|chuujun|вторая декада месяца|2|
注目|chuumoku|внимание; наблюдение; |2|
注目 する|chuumoku suru|следить; наблюдать; замечать|2|
チョウク|chouku|мел (англ. chalk); авт. дроссельная заслонка (англ. choke)|2|
調子|choushi|тон; интонация; муз. тональность; высота (тона); муз. ритм; темп; образ действий; манера; состояние (здоровья и т.п.); ход  чего  л.; настроение момента; импульс; бирж. конъюнктура|2|
長所|chousho|сильная сторона; преимущество|2|
帳面|choumen|тетрадь; книга (бухгалтерская и т.п.)|2|
貯金|chokin|[банковский]  вклад; сбережения|2|
直線|chokusen|прямая линия|2|
地理|chiri|география; топография; географические особенности|2|
序で|tsuide|случай; возможность; последовательность; порядок|2|
序でに|tsuideni|при случае; кстати; по пути; заодно|2|
遂に|tsuini|наконец; в конце концов|2|
通じる|tsuujiru|непереходный глагол; вести  куда  л., доходить  до чего  л.; быть проложенным; ходить; курсировать; работать (о телефоне и т.п.); быть в  [любовной]  связи; доходить; быть понятным; быть сведущим  в чем  л.|2|
通じる|tsuujiru|переходный глагол; передавать; пересылать; распространяться  по чему  л.; продолжаться (какое  л. время)|2|
捕まえる|tsukamaeru|схватить; поймать; арестовать|2|
次ぐ|tsugu|следовать  за чем  л.|2|
造る|tsukuru|делать; изготовлять; строить; создавать; творить|2|
伝わる|tsutawaru|передаваться; распространяться; двигаться вдоль  чего  л.|2|
粒|tsubu|зернышко; капля|2|
粒 の|tsubu no|зернистый|2|
妻|tsuma|жена; архит. торец; щипец; гарнир (к сасими и т.п.)|2|
詰まらない|tsumaranai|никчемный; скучный|2|
積もる|tsumoru|нагромождаться; скапливаться; приблизительно оценивать|2|
辛い|tsurai|тяжелый; горький|2|
続いて|tsuduite|подряд; после этого; затем|2|
続けて|tsudukete|подряд|2|
定期|teiki|установленный срок (период); |2|
定期 の|teiki no|регулярный; периодический; срочный (о займе и т.п.); очередной (о собрании и т.п.); |2|
定期 に|teiki ni|регулярно; периодически|2|
定期券|teikiken|сезонный  [проездной]  билет|2|
停止|teishi|приостановка; мораторий; остановка; застой; мертвая точка; тупик|2|
停止 する|teishi suru|приостановить; временно запретить; остановиться; не двигаться|2|
テエプレコウダア|teepurekoudaa|магнитофон (англ. tape recorder)|2|
手数料|tesuuryou|комиссия  за что  л., комиссионные; процент|2|
手帳|techou|блокнот; записная книжка|2|
手伝い|tetsudai|помощь; помощник|2|
手伝い お する|tetsudai o suru|оказывать помощь|2|
テニス|tenisu|теннис (англ. tennis)|2|
手拭い|tenugui|полотенце  [для рук] 146748_|2|
手本|tehon|пропись; образец; пример; |2|
手本 に する|tehon ni suru|взять  кого  л. за образец; следовать примеру  кого  л.|2|
電報|denpou|телеграмма|2|
問[い]|toi|вопрос|2|
問う|tou|спрашивать; задавать вопрос; обвинять (в преступлении); с отриц. не придавать значения|2|
統一|touitsu|единство; объединение; консолидация; координация; увязка; унификация; стандартизация; концентрация; |2|
統一 する|touitsu suru|объединять; консолидировать; собирать; координировать; унифицировать; приводить к стандарту; концентрировать; собирать (мысли и т.п.)|2|
当時|touji|в то время; в момент  чего  л.; теперь; в настоящее время; |2|
当時 の|touji no|тогдашний; того времени; нынешний; теперешний|2|
到頭|toutou|в конце концов; наконец|2|
東洋|touyou|восток; страны востока; |2|
東洋 の|touyou no|восточный|2|
遠く に|tooku ni|вдали; далеко; |2|
遠く から|tooku kara|издали; издалека|2|
都会|tokai|город; |2|
都会 の|tokai no|городской; урбанистический|2|
溶かす|tokasu|растворять; растапливать; плавить; расплавлять|2|
得|toku|выгода; прибыль; |2|
得 する|toku suru|выгадывать; |2|
得 な|toku na|выгодный; |2|
得 に なる|toku ni naru|сулить выгоду|2|
得意|tokui|торжество; гордость; расцвет; лучшая пора (!4); чей  л. конек; сильная сторона; клиент; клиентура|2|
得意 の|tokui no|торжествующий; победоносный; лучший (о годах); излюбленный (о занятии и т.п.); |2|
得意 に なる|tokui ni naru|ликовать; гордиться; |2|
得意 に なって|tokui ni natte|торжествуя; ликуя|2|
得意 と する|tokui to suru|быть мастером; быть сильным  в чем  л.|2|
溶ける|tokeru|растворяться; таять; плавиться (о металле)|2|
床|toko|постель; пол; стенная ниша; ложе реки; русло; рассадник; парник; набивка для татами|2|
都市|toshi;$|город|2|
年寄り|toshiyori|пожилой человек; старики; сумо  старший борец; ист. старейшина (в сегунате)|2|
年寄り の|toshiyori no|пожилой; старый; |2|
年寄り に なる|toshiyori ni naru|стареть|2|
飛び出す|tobidasu|вылетать; улетать; выскакивать; выбегать; убегать; появляться; вылезать; высовываться|2|
トマト|tomato|помидор (англ. tomato)|2|
泊める|tomeru|пускать на ночь; давать приют; предоставлять номер (в гостинице)|2|
留める|tomeru|закреплять  что  л. чем  л.; задерживать; придерживать; оставлять (в памяти; сердце); удерживать; отговаривать|2|
友|tomo|друг; товарищ|2|
取り上げる|toriageru|брать  [в руки]; поднимать; принимать (требования и т.п.); внимать (уговорам и т.п.); прислушиваться (к советам и т.п.); отбирать  что  л., лишать  чего  л.; конфисковать; мед. принимать (ребенка)|2|
取り扱う|toriatsukau|обращаться; обходиться  с кем  чем  л.; относиться  к кому  чему  л.; обращаться  с чем  л., пользоваться; управлять (каким  л. устройством); ведать  чем  л.; вести (дела); решать (вопросы); работать  с чем  л., обрабатывать; торговать  чем  л.|2|
取り替える|torikaeru|менять; заменять; обмениваться|2|
撮る|toru|снимать; фотографировать|2|
捕る|toru|ловить (мяч; рыбу и т.п.)|2|
取れる|toreru|отрываться; отламываться; соскакивать; [мочь]  быть полученным (заработанным); получаться; производиться; добываться; ловиться (о рыбе или дичи); сходить (о пятне); проходить (о боли и т.п.); потенциальный залог глагола|2|
内閣|naikaku|кабинет  [министров]|2|
ナイロン|nairon|нейлон (англ. nylon)|2|
尚|nao|еще  [больше]; кн. все  [еще]; кн. подобно тому; как...; в начале предложения  далее (часто не переводится)|2|
仲|naka|отношения  с кем  л.|2|
流す|nagasu|пускать по течению; сносить (о реке); лить (слезы; кровь и т.п.); смывать; терять (заклад); ист. ссылать|2|
眺める|nagameru|смотреть; глядеть; разглядывать|2|
無くす|nakusu|избавляться  от чего  л.|2|
為さる|nasaru|вежл. делать|2|
梨|nashi|груша; особ. груша грушелистная; = Pyrus pyrifolia|2|
斜め の|naname no|косой; наклонный; диагональный; |2|
斜め に|naname ni|наискось; наклонно; по диагонали|2|
生る|naru|плодоносить|2|
成るべく|narubeku|по возможности; насколько возможно|2|
成程|naruhodo|в самом деле; действительно; и вправду|2|
濁る|nigoru|стать мутным; замутиться; озвончаться (о согласном)|2|
人数|ninzuu|число людей|2|
微温い|nurui|недостаточно горячий; остывший; холодный; [слишком]  мягкий; снисходительный (в обращении с кем  л.)|2|
狙う|nerau|целиться; метить  на что  л., иметь целью|2|
農家|nouka|крестьянский дом (двор; хозяйство; семья); крестьяне|2|
ノウト|nouto|записи; заметки (англ. note); муз. нота (англ. note); записная книжка; портативный компьютер; ноутбук|2|
ノウト する|nouto suru|делать записи; записывать|2|
除いて|nozoite|за исключением; кроме|2|
後|nochi|потом; позднее; после смерти|2|
野原|nohara|поле; равнина|2|
上り|nobori|дорога в гору; подъем; восхождение; идущий в столицу (поезд и т.п.)|2|
昇る|noboru|подниматься; взбираться; идти вверх; получать повышение|2|
乗り物|norimono|средство передвижения|2|
パイナップル|painappuru|ананас (англ. pineapple)|2|
生える|haeru|расти (о растениях; также о волосах; ногтях; зубах; крыльях)|2|
博士|hakase;hakushi|доктор наук; перен. знаток (тк. )|2|
励ます|hagemasu|стимулировать; побуждать; поощрять; воодушевлять|2|
挟む|hasamu|зажимать с двух сторон; класть между  чем  л.; закладывать (напр. за ухо); затыкать (напр. за пояс)|2|
端|hashi;haji|конец; край; угол; обрывок; клочок|2|
バタア|bataa|[сливочное]  масло (англ. butter)|2|
裸足|hadashi|босые ноги; |2|
裸足 の|hadashi no|босой; |2|
裸足 で|hadashi de|босиком|2|
果たす|hatasu|исполнить; выполнить; осуществить; реализовать; завершить; перен. убить|2|
二十歳|hatachi|двадцать лет (возраст)|2|
発行|hakkou|выпуск; издание; публикация; эмиссия; выпуск (ценных бумаг и т.п.)|2|
派手 な|hade na|яркий; броский; кричащий; щегольской|2|
離れた|hanareta|изолированный; удаленный|2|
離れて|hanarete|вдали; поодаль; на расстоянии; отдельно; независимо  от чего  л.|2|
羽根|hane|волан|2|
跳ねる|haneru|прыгать; подскакивать; разбрызгиваться; расплескиваться; заканчиваться (о спектакле)|2|
省く|habuku|исключать; устранять; сокращать; сберегать|2|
晴れ|hare;$|ясная погода|2|
晴れ の|hare;$ no|связ. публичный; торжественный|2|
ハンカチ|hankachi|носовой платок (сокр. англ. handkerchief)|2|
パンク|panku|прокол (шины и т.п.; сокр. англ. puncture); панк (англ. punk); |2|
パンク する|panku suru|проколоться|2|
パンク の|panku no|панковский|2|
反省|hansei|самонаблюдение; самоанализ; рефлексия; обдумывание (сделанного; сказанного)|2|
半月|hantsuki|полмесяца; 15  дней  156342_|2|
ハンドバッグ|handobaggu|[дамская]  сумочка (англ. handbag)|2|
半日|hannichi|полдня|2|
半年|hannen;hantoshi|полгода|2|
引き受ける|hikiukeru|принимать на себя; брать в свои руки; отвечать  за что  л.; гарантировать; ручаться; фин. акцептовать (вексель и т.п.)|2|
引出し|hikidashi|выдвижной ящик; снятие с вклада|2|
飛行場|hikoujou|аэродром|2|
引'越し|hikkoshi|переезд; переселение; |2|
引'越し お する|hikkoshi o suru|переезжать|2|
引'張る|hipparu|тянуть; тащить; волочить (тж. перен.); протягивать (веревку и т.п.)|2|
否定|hitei|отрицание; |2|
否定 する|hitei suru|отрицать|2|
等しい|hitoshii|равный; одинаковый|2|
捻る|hineru|крутить; вертеть; закручивать; выкручивать; наклонять (напр. голову); щипать; побивать (противника)|2|
開ける|hirakeru|открываться (о движении); расширяться; развиваться; становиться цивилизованным; приобретать жизненный опыт|2|
便箋|binsen|почтовая бумага|2|
付近|fukin|окрестности|2|
複数|fukusuu|грам. множественное число|2|
複数 の|fukusuu no|множественный|2|
膨らむ|fukuramu|вздуваться; разбухать|2|
膨れる|fukureru|дуться; обижаться|2|
豚肉|butaniku|свинина|2|
物価|bukka|цены  [на потребительские товары]|2|
物理学|butsurigaku|физика|2|
不図|futo|внезапно; неожиданно; случайно; нечаянно|2|
太った|futotta|толстый|2|
太る|futoru|толстеть|2|
船便|funabin|пароходное сообщение; морская почта|2|
振り替える|furikaeru|переводить; перечислять (деньги), переносить на другой счет|2|
触れる|fureru|трогать; задевать; упоминать; касаться; распускать (слухи и т.п.)|2|
文|bun|письменность; литература; сочинение; текст; стиль; , гражданские занятия; грам. предложение|2|
文章|bunshou|художественный текст; проза; [литературный]  стиль|2|
文房具|bunbougu|канцелярские принадлежности|2|
別々 に|betsubetsu ni|врозь; отдельно|2|
部屋代|heyadai|плата за комнату (квартиру)|2|
ペンキ|penki|[малярная]  краска (голл. pek)|2|
変更|henkou|перемена; изменение; |2|
変更 する|henkou suru|[из] менять|2|
便所|benjo|туалет; уборная|2|
方針|houshin|магнитная стрелка; курс; направление; [политическая]  линия|2|
方々 に|houbou ni|всюду; везде; кругом|2|
方面|houmen|сторона; местность; район; область; сфера; аспект; угол зрения|2|
朗らか|hogaraka|ясный; чистый (о небе; звуке); веселый; бодрый|2|
保証|hoshou|ручательство; гарантия; |2|
保証 する|hoshou suru|гарантировать; ручаться|2|
保障|hoshou|гарантия; обеспечение; |2|
保障 する|hoshou suru|гарантировать; обеспечивать|2|
本屋|hon'ya|книжный магазин (лавка); книготорговец; главное здание|2|
毎晩|maiban|каждый вечер (ночь); |2|
毎晩 の|maiban no|ежевечерний|2|
曲がる|magaru|гнуться; быть изогнутым; поворачивать; огибать (угол)|2|
巻貝|makigai|спиральные раковины; разг. улитка|2|
益々|masumasu|все более и более|2|
待ち合わせる|machiawaseru|встречаться  [условившись о встрече], иметь рандеву|2|
間違える|machigaeru|ошибаться|2|
間違える と|machigaeru to|путать  что  л. с чем  л.|2|
真'赤 の|makka no|ярко  красный; пунцовый|2|
真'暗|makkura|полная темнота; кромешная тьма; |2|
真'暗 の|makkura no|совершенно темный; хоть глаз выколи|2|
真'黒 な|makkuro na|совершенно черный; черный как смоль|2|
真'白 な|masshiro na|совершенно белый; белоснежный|2|
真似る|maneru|подражать  кому  л., имитировать; подражать; следовать примеру|2|
万年筆|mannenhitsu|перьевая ручка; вечное перо|2|
実|mi|плод; суть; содержание|2|
磨く|migaku|шлифовать; полировать; чистить; перен. шлифовать; оттачивать|2|
見事 な|migoto na|прекрасный; восхитительный; великолепный; |2|
見事 に|migoto ni|прекрасно; восхитительно; великолепно; полностью; целиком; совершенно|2|
ミシン|mishin|швейная машинка (сокр. англ. sewing machine)|2|
見付かる|mitsukaru|быть обнаруженным (найденным; замеченным); попасться (на месте преступления и т.п.)|2|
皆さん|minasan|все  [собравшиеся]; господа!|2|
実る|minoru|созревать; плодоносить|2|
身分|mibun|общественное положение; социальный статус; обстоятельства; материальные условия; личность; происхождение|2|
見本|mihon|образец; образчик; пробный экземпляр; пример; образец|2|
見舞|mimai|посещение (больного и т.п.); наведение справки (о чьем  л. здоровье); выражение сочувствия (озабоченности)|2|
妙|myou|нечто странное; чудо; тайна; связ. тайны мастерства; умение; ловкость; класс|2|
妙 な|myou na|странный; удивительный; необычный; чудной; таинственный; чудесный; дивный|2|
診る|miru|осматривать (пациента)|2|
民主主義|minshushugi|демократия; демократизм|2|
剥く|muku|сдирать; обдирать; чистить; шелушить; лущить|2|
虫歯|mushiba|испорченный зуб; кариес|2|
矛盾|mujun|противоречие; |2|
矛盾 する|mujun suru|противоречить  чему  л., быть в противоречии; |2|
矛盾 した|mujun shita|противоречивый|2|
寧ろ|mushiro|скорее...[чем...]|2|
無茶苦茶|muchakucha|разг.; беспорядок; неразбериха; мешанина; |2|
無茶苦茶 な|muchakucha na|беспорядочный; перепутанный; бессмысленный; вздорный; нелепый; безумный; слепой; |2|
無茶苦茶 に|muchakucha ni|беспорядочно; как попало; вверх дном; безумно; одержимо; слепо|2|
夢中 に なる|muchuu ni naru|не помнить себя; увлечься  [до самозабвения], потерять голову; |2|
夢中 で|muchuu de|не помня себя; как во сне; как в бреду; потерянно; рассеянно; увлеченно; самозабвенно; без памяти|2|
夢中 に なって|muchuu ni natte|отчаянно; неистово; одержимо|2|
無闇 な|muyami na|опрометчивый; безрассудный; неумеренный; непомерный; ненужный; лишний; |2|
無闇 に|muyami ni|бездумно; без разбора; как попало; неумеренно; непомерно; слишком; чересчур; зря; напрасно; излишне|2|
紫 の|murasaki no|фиолетовый; лиловый; пурпурный|2|
紫|murasaki|бот. воробейник; = Lyhtospermum erythrorhizon; разг. соевый соус; женское имя|2|
芽|me|почка; бутон; побег; росток; всходы|2|
明治|meiji|мэйдзи (император и эпоха; 1868-1912)|2|
名簿|meibo|список (реестр) имен|2|
巡る|meguru|обходить по кругу; кружиться; поворачиваться; окружать|2|
雌|mesu|самка|2|
滅多 な|metta na|опрометчивый; необдуманный; неосторожный|2|
滅多 に|metta ni|с отриц. нечасто; редко|2|
綿|men|хлопок|2|
面|men|кн. лицо; маска (тж. спортивная); поверхность; сторона; грань; сторона  [проблемы], аспект; углы; неровности; страница (газеты)|2|
目標|mokuhyou|знак; отметка; цель; объект; |2|
目標 に する|mokuhyou ni suru|ставить  что  л. целью|2|
潜る|moguru|нырять; залезать; заползать; прятаться|2|
用いる|mochiiru|пользоваться; употреблять; применять; нанимать; давать работу|2|
物指|monosashi|[масштабная]  линейка; мерка (тж. перен.)|2|
木綿|momen|хлопчатобумажная ткань; |2|
木綿 の|momen no|хлопчатобумажный|2|
桃|momo|персик (дерево и плод),= Prunus persica|2|
漏る|moru|протекать; течь|2|
八百屋|yaoya|овощная лавка; зеленщик; на все руки мастер|2|
野球|yakyuu|бейсбол; |2|
野球 お する|yakyuu o suru|играть в бейсбол|2|
約|yaku|обещание; сокращение; около; приблизительно|2|
約する|yakusuru|обещать; договариваться; сокращать|2|
易しい|yasashii|легкий; простой|2|
宿|yado|гостиница (японская); пристанище; ночлег; дом; квартира; прост.[мой]  муженек|2|
雇う|yatou|нанимать (брать) на работу; фрахтовать; брать напрокат|2|
破れる|yabureru|разбиваться; ломаться; рваться; разрушаться; снашиваться; нарушаться; прерываться; быть побежденным; быть разбитым; проваливаться; терпеть неудачу|2|
敗れる|yabureru|потерпеть поражение; быть разбитым|2|
止むを得ず|yamuwoezu|неизбежно; неминуемо; в силу неизбежности; поневоле; вынужденно|2|
止むを得ない|yamuwoenai|неизбежный; неминуемый; вынужденный; обязательный|2|
辞める|yameru|уходить в отставку|2|
夕方|yuugata|вечер; сумерки; |2|
夕方 に|yuugata ni|вечером|2|
優勝|yuushou|спорт. победа; |2|
優勝 する|yuushou suru|одерживать победу; завоевывать первенство|2|
愉快 な|yukai na|приятный; веселый; |2|
愉快 に|yukai ni|приятно; весело|2|
譲る|yuzuru|отдавать; передавать; уступать (права; имущество и т.п.); уступать (место; дорогу; в споре; в торге и т.п.); откладывать; отсрочивать|2|
油断|yudan|невнимательность; небрежность; неосторожность; |2|
油断 する|yudan suru|быть невнимательным (небрежным; неосторожным), терять бдительность; |2|
油断 させる|yudan saseru|усыплять бдительность; отвлекать внимание; |2|
油断 の ない|yudan no nai|осторожный; бдительный|2|
用|you|дело; надобность; пригодность; польза; расходы; естественные надобности|2|
要求|youkyuu|требование; запрос; |2|
要求 する|youkyuu suru|требовать; запрашивать|2|
用心|youjin|осторожность; бдительность; |2|
用心 する|youjin suru|остерегаться; быть начеку|2|
様子|yousu|положение вещей; обстоятельства; вид; облик; поведение; повадки; [внешний]  признак  чего  л.|2|
漸く|youyaku|постепенно; мало  помалу; еле  еле; с трудом; наконец; в конце концов|2|
欲|yoku|желание; жажда  чего  л.; жадность|2|
避ける|yokeru|избегать; сторониться; укрываться|2|
汚す|yogosu|пачкать; марать; загрязнять|2|
汚れ|yogore|грязь; пятно|2|
予想|yosou|предположения; ожидания; |2|
予想 する|yosou suru|предполагать; ожидать; предвидеть|2|
夜中|yonaka|полночь; поздняя ночь; |2|
夜中 に|yonaka ni|среди ночи  171722_ 170073_|2|
予備|yobi|подготовка; запас; резерв; |2|
予備 の|yobi no|подготовительный; предварительный; запасной; резервный|2|
余程|yohodo|весьма; очень; довольно; гораздо; |2|
余程 の|yohodo no|порядочный; изрядный|2|
嫁|yome|невестка; жена сына; невеста; молодая жена|2|
余裕|yoyuu|свобода  [действий], возможности; достаточное количество (времени; денег; места и т.п.); присутствие духа|2|
余裕 が ある|yoyuu ga aru|мочь позволить себе  что  л.|2|
因る|yoru|проистекать  из чего  л.|2|
拠る|yoru|основываться  на чем  л., опираться  на что  л.; удерживать (крепость)|2|
宜しい|yoroshii|хороший; хорошо|2|
ライタア|raitaa|зажигалка (англ. lighter); писатель; литератор (англ. writer); тех., комп. записывающее устройство; райтер|2|
陸|riku|суша; земля|2|
両替|ryougae|обмен (валюты); |2|
両替 する|ryougae suru|обменивать|2|
両側|ryougawa;ryousoku|обе стороны|2|
領事|ryouji|консул|2|
領事館|ryoujikan|консульство|2|
良心|ryoushin|совесть|2|
例外|reigai|исключение (из правила); *-0|2|
例外 と して|reigai to shite|за исключением...; |2|
例外 なく|reigai naku|без исключений|2|
冷房|reibou|охлаждение (кондиционирование) воздуха|2|
レインコウト|reinkouto|плащ; дождевик (англ. raincoat)|2|
レコウド|rekoudo|грампластинка (англ. record); рекорд (англ. record)|2|
レポウト|repouto|доклад; сообщение; отчет; репортерская заметка (англ. report)|2|
恋愛|ren'ai|любовь; |2|
恋愛 する|ren'ai suru|влюбиться|2|
ロウマ字|roumaji|ромадзи (латинская траскрипция яп. слов); латинский алфавит (шрифт)|2|
ロケット|roketto|ракета (англ. rocket); медальон; кулон (англ. locket)|2|
沸かす|wakasu|кипятить; перен. будоражить; волновать|2|
綿|wata|хлопок; вата|2|
笑い|warai|смех|2|
割り|wari|расчет; соотношение; десять процентов; выгодность; прибыльность|2|
割り に|wari ni|из расчета   чего  л., соотносительно  с чем  л.|2|
割りに|warini|относительно; сравнительно; неожиданно; против ожиданий; |2|
割りに の|warini no|несоответственно  чему  л.|2|
我|ware|я; эго|2|
我々|wareware|мы|2|
当たり前 だ|atarimae da|естественно; ничего удивительного; само собой разумеется; |3|
当たり前 の|atarimae no|естественный; неудивительный; правильный; заслуженный; обычный; обыкновенный; нормальный; |3|
当たり前 に|atarimae ni|как обычно; как всегда|3|
売場|uriba|прилавок; торговый зал; аукционный зал; магазин|3|
お早う|ohayou|доброе утро!|3|
会員|kaiin|член (клуба; общества и т.п.); членство|3|
回教|kaikyou|ислам; мусульманство; магометанство; |3|
回教 の|kaikyou no|мусульманский|3|
回転|kaiten|вращение; вращательное движение; оборот; спорт.[горнолыжный]  слалом; геом. поворот; мат. ротор (в векторном анализе)|3|
回転 する|kaiten suru|вращаться; вертеться; оборачиваться (о капитале)|3|
解放|kaihou|освобождение; раскрепощение; эмансипация; отцепление (вагона; прицепа)|3|
解放 する|kaihou suru|освобождать; раскрепощать|3|
確実|kakujitsu|надежность; |3|
確実 な|kakujitsu na|достоверный; верный; надежный; заслуживающий доверия; солидный; |3|
確実 に|kakujitsu ni|наверняка; твердо; определенно; |3|
確実 に する|kakujitsu ni suru|обеспечивать; гарантировать; подтверждать; подкреплять|3|
確認|kakunin|подтверждение; признание; |3|
確認 する|kakunin suru|подтверждать; признавать|3|
確率|kakuritsu|вероятность|3|
火口|kakou|[вулканический]  кратер  157272_ 164362_|3|
葛藤|kattou|кн.; клубок противоречий; запутанные отношения; нелады; внутренний разлад; будд.     145808_|3|
葛藤 する|kattou suru|разрываться между противоположными чувствами|3|
可能性|kanousei|возможность; шанс; |3|
可能性 の ある|kanousei no aru|возможный; |3|
可能性 の ない|kanousei no nai|невозможный|3|
筋肉|kinniku|мышца; мускул|3|
クウラア|kuuraa|система охлаждения; кондиционер (англ. cooler)|3|
景気|keiki|дела; положение дел; состояние рынка (бизнеса; торговли), конъюнктура; бодрость; живость|3|
形勢|keisei|положение; обстановка; ситуация|3|
継続|keizoku|продолжение; продление; |3|
継続 する|keizoku suru|продолжаться; длиться; продолжать; продлевать|3|
系統|keitou|система; происхождение; родословная; генеалогия; группировка; партия; геол. формация|3|
警備|keibi|охрана; караул; |3|
警備 する|keibi suru|охранять; сторожить|3|
研修|kenshuu|обучение; повышение квалификации; |3|
研修 する|kenshuu suru|обучаться|3|
見当|kentou|цель; предположение; оценка; направление; суф. около; примерно|3|
見当 で|kentou de|по расчетам|3|
見当 に|kentou ni|в направлении  чего  л.|3|
剣道|kendou|кэндо (искусство фехтования на бамбуковых мечах)|3|
権力|kenryoku|власть; могущество; влияние; |3|
権力 の ある|kenryoku no aru|могущественный; влиятельный; |3|
権力 の ない|kenryoku no nai|бессильный; не имеющий власти|3|
構成|kousei|составление; формирование; состав; структура; строй; конструкция|3|
構成 する|kousei suru|составлять; формировать|3|
合成|gousei|соединение; хим. синтез; |3|
合成 する|gousei suru|соединять; синтезировать; |3|
合成 の|gousei no|составной; сложный; комплексный; синтетический|3|
公立 の|kouritsu no|общественный; государственный; публичный (в т. ч. муниципальный; префектуральный и т.п.  — об учреждении)|3|
実用|jitsuyou|практическое использование|3|
事典|jiten|энциклопедический словарь|3|
スピイド|supiido|скорость (англ. speed)|3|
聖書|seisho|христ. библия|3|
生長|seichou|рост (oсоб. о растениях); |3|
生長 する|seichou suru|расти; вырастать|3|
探偵|tantei|сыскная работа; розыск; разведка; шпионаж; сыщик; детектив; шпион|3|
探偵 する|tantei suru|выслеживать; шпионить|3|
使い方|tsukaikata|[надлежащий]  способ употребления  чего  л.; как  [следует]  обращаться  с чем  л.|3|
艶消し|tsuyakeshi|матировка (стекла), выведение блеска; разочарование; |3|
艶消し の|tsuyakeshi no|матовый; |3|
艶消し に する|tsuyakeshi ni suru|делать матовым (стекло; серебро и т.п.); открывать глаза  на что  л., разочаровывать  кого  л. в чем  л.|3|
艶消し で ある|tsuyakeshi de aru|портить  [все впечатление]; |3|
提出|teishutsu|предъявление; представление; |3|
提出 する|teishutsu suru|предъявлять; представлять; подавать (заявку и т.п.); предлагать; выдвигать|3|
鉄橋|tekkyou|железный мост; железнодорожный мост|3|
デモ|demo|демонстрация (сокр. англ. demonstration); комп. демо|3|
転換|tenkan|поворот  к чему  л.; переход  к чему  л.; перевод  на что  л., конверсия; переключение (внимания; мыслей); эл. переключение; коммутация; |3|
転換 する|tenkan suru|переходить  от чего  л. к чему  л.; переключиться  на что  л., развеять (грусть и т.п.); переключать|3|
展望|tenbou|обзор; обозрение; вид; панорама; перспектива; видимость; |3|
展望 する|tenbou suru|оглядывать; обозревать|3|
投資|toushi|инвестирование; вложение капитала; |3|
投資 する|toushi suru|инвестировать|3|
登場|toujou|появление на сцене; |3|
登場 する|toujou suru|выходить на сцену (тж. перен.); появляться  [на арене]|3|
搭乗|toujou|посадка (в поезд; в самолет; на судно и т.п.); |3|
搭乗 する|toujou suru|садиться|3|
闘争|tousou|бой; сражение; борьба; |3|
闘争 する|tousou suru|биться; сражаться; бороться|3|
統治|touchi;touji|правление; управление; |3|
統治 する|touchi;touji suru|править; управлять (государством и т.п.)|3|
投票|touhyou|голосование; |3|
投票 する|touhyou suru|голосовать  за кого  л., отдавать голос|3|
登録|touroku|регистрация; запись; |3|
登録 する|touroku suru|регистрировать|3|
特売|tokubai|дешевая распродажа; |3|
特売 する|tokubai suru|устраивать распродажу|3|
特級 の|tokkyuu no|особый; специальный; экстра -(о товаре и т.п.)|3|
取引|torihiki|сделка; бизнес; торговля; |3|
取引 する|torihiki suru|заключать сделки; вести бизнес|3|
人情|ninjou|человеколюбие; сердечность; человеческие чувства; человеческая натура; природа человека|3|
人情 の ある|ninjou no aru|добрый; сердечный; |3|
人情 の ない|ninjou no nai|холодный; бессердечный|3|
任命|ninmei|назначение; |3|
任命 する|ninmei suru|назначать (на должность и т.п.)|3|
反則|hansoku|нарушение правил; фол; |3|
反則 お する|hansoku o suru|нарушать правила|3|
ピmポン|pinpon|пинг  понг; настольный теннис (англ. ping  pong)|3|
部分的 な|bubunteki na|частичный; локальный; |3|
部分的 に|bubunteki ni|частично; местами|3|
ポスト|posuto|почтовый ящик (сокр. англ. postbox); пост; должность (англ. post)|3|
真'青 の|massao no|темно  синий; мертвенно  бледный|3|
味方|mikata|сторонник; союзник; ; |3|
味方 する|mikata suru|принять  чью  л. сторону; быть на  чьей  л. стороне|3|
ミルク|miruku|молоко (англ. milk)|3|
文句|monku|слова; выражение; фраза; жалобы; ропот; претензии; возражение; придирка|3|
易い|yasui|легкий; простой|3|
予習|yoshuu|приготовление уроков; |3|
予習 する|yoshuu suru|готовить уроки|3|
夜更かし する|yofukashi suru|сидеть (не спать) до поздней ночи|3|
連続|renzoku|продолжение; подряд; без перерыва|3|
連続 する|renzoku suru|продолжаться; длиться; в сочетаниях  непрерывный|3|
悪心|akushin|злой умысел; дурное побуждение; |4|
悪心 ある|akushin aru|злонамеренный  109021_|4|
一段|ichidan|ступень; стадия; этап; параграф; |4|
一段 と|ichidan to|еще более; гораздо   104137_|4|
一切|issai|все; с отриц. ничего; полностью; совершенно|4|
一切 の|issai no|все; весь; |4|
一切 で|issai de|всего|4|
怪異 な|kaii na|странный; причудливый; удивительный; загадочный|4|
下部|kabu|нижняя часть; низовая структура  130648_|4|
