Japanese|Romaji|Russian|Utility|Type
強い|tsuyoi|сильный; крепкий; прочный|2|
強まる|tsuyomaru|усиливаться; укрепляться|2|
強める|tsuyomeru|усиливать; укреплять|2|
強がる|tsuyogaru|притворяться сильным|2|
強いる|shiiru|заставлять; принуждать|2|
強いて|shiite|силой; против воли|2|
強か|shitataka|сильно; крепко; много|2|
強|KYOU|сила; сильный в идиомах|2|
強い|kowai|твердый; жесткий|2|
強ち|anagachi|во чтобы то ни стало; с отриц. не обязательно|2|
教える|oshieru|преподавать; учить; обучать; объяснять; показывать|2|
教え|oshie|[религиозное]  учение; доктрина; обучение; наставление|2|
教わる|osowaru|учиться; обучаться|2|
近い|chikai|близкий; недалекий|2|
近く に|chikaku ni|близко; рукой подать|2|
近く の|chikaku no|близкий; соседний|2|
近く|chikaku|скоро; вскоре; около; приблизительно|2|
近く なる|chikaku naru|подступать|2|
近々 に|chikadika ni|скоро; вскоре|2|
近々 に|KINKIN ni|скоро; вскоре|2|
近しい|chikashii|близкий; дружеский|2|
兄|ani|старший брат|2|
兄さん|niisan|старший брат|2|
お兄さん|oniisan|старший брат|2|
兄|KEI|старший брат в идиомах; устаревшее:  ты|2|
兄|e|архаичное:  старший брат; старшая сестра|2|
形|kata|форма; вид; фигура; фасон; стиль; узор; размер; формат; залог; заклад|2|
形|katachi|форма; вид; образ; внешность; фигура|2|
形|nari|форма; рост; сложение; размер; внешность; вид; облик; костюм|2|
計る|hakaru|мерить; измерять; подсчитывать; вычислять; угадывать; примерно оценивать; планировать; затевать|2|
計らう|hakarau|распоряжаться; устраивать; советоваться|2|
計らい|hakarai|распоряжение; усмотрение; содействие; любезность|2|
計|KEI|план|2|
元|moto|начало; исток; происхождение; основа; материал; основной капитал; себестоимость|2|
元 の|moto no|бывший; прежний|2|
元 わ|moto wa|раньше; прежде|2|
元々|motomoto|с самого начала; искони; от природы; собственно говоря|2|
元|GEN|династия юань (монгольская)(китай; 1280-1368  гг.); юань (китайская денежная единица)|2|
原|hara|равнина; поле; степь; фамилия|2|
原|moto|начало; источник; основа|2|
原っぱ|harappa|прост. пустырь|2|
言う|iu|говорить; сказать|2|
言う と|iu to|называться|2|
言わば|iwaba|так сказать; одним словом|2|
言えば|ieba|говоря (как  л., о чем  л.)|2|
言|koto|устаревшее:  слово|2|
言|GEN|книжное:  слово; слова|2|
古い|furui|старый; давний; устарелый; отсталый|2|
古く わ|furuku wa|в старину; давно|2|
古く から|furuku kara|издавна|2|
古びる|furubiru|изнашиваться; стареть|2|
古めかしい|furumekashii|старый на вид|2|
お古う|ofuru|подержанная (поношенная) вещь|2|
古|inishie|книжное:  древность; старина|2|
戸|to|дверь (особ. задвигающаяся); ставня|2|
午|uma|лошадь (7- й знак китайского гороскопа); архаичное:  направление на юг; архаичное:  время с 11  часов утра до 1  часа дня|2|
後ろ|ushiro|позади; сзади|2|
後|ato|позади; после; затем; следующee; дальнейшее; остальное; остаток; последствия; эффект; будущее; потомок; преемник; раньше (на какое  л. время)|2|
その後|SONOGO|после этого|2|
後|nochi|потом; позднее; после смерти|2|
後れる|okureru|опаздывать; задерживаться; отставать|2|
後れ|okure|запаздывание; отсталость; неудача; провал; робость; неуверенность|2|
後らす|okurasu|задерживать; замедлять|2|
後めたい|ushirometai|обеспокоенный; стесняющийся|2|
後々|nochinochi|[отдаленное]  будущее|2|
後々|atoato|[отдаленное]  будущее|2|
語|GO|слово; речь; язык|2|
語る|kataru|говорить; рассказывать|2|
語らう|katarau|беседовать; сговариваться; давать слово (жениться); давать клятву верности|2|
語らい|katarai|разговор; беседа; обещание (жениться); клятва верности|2|
交わす|kawasu|обмениваться (словами; приветствиями)|2|
交わる|majiwaru|общаться; встречаться; пересекаться|2|
交わり|majiwari|общение; знакомство; связь|2|
交える|majieru|обмениваться; скрещивать; смешивать|2|
交ぜる|mazeru|смешивать; включать|2|
交ざる|mazaru|быть смешанным; быть примешанным; смешаться; замешаться|2|
交じる|majiru|быть смешанным; быть примешанным; смешаться; замешаться|2|
交々|komogomo|поочередно; попеременно|2|
交|KOU|рубеж (напр. двух эпох); переходный период|2|
交|kau|рубеж (напр. двух эпох); переходный период|2|
光る|hikaru|сиять; светить; блестеть; сверкать|2|
光|hikari|сияние; блеск; свет; лучи; переносное:  слава; сила; влияние|2|
公 の|ooyake no|открытый; гласный; публичный; официальный; государственный|2|
公 の|KOU no|открытый; гласный; публичный; официальный; государственный|2|
公 に する|ooyake ni suru|предавать гласности|2|
公 に する|KOU ni suru|предавать гласности|2|
公|kimi|устаревшее:  господин; государь|2|
工|takumi|> устаревшее:; мастер; ремесленник; плотник|2|
工む|takumu|замышлять|2|
広い|hiroi|широкий; обширный|2|
広やか|hiroyaka|широкий; обширный|2|
広やか|hiroyakana|широкий; обширный|2|
広がる|hirogaru|шириться; распространяться; простираться|2|
広げる|hirogeru|расширять; распространять; разворачивать; расстилать|2|
広まる|hiromaru|распространяться. разноситься|2|
広める|hiromeru|расширять; распространять; делать  известным; пропагандировать|2|
広々 と した|hirobiro to shita|широкий; обширный; просторный|2|
考える|kangaeru|думать; размышлять; полагать; представлять себе; учитывать; придумывать; намереваться|2|
考え|kangae|мысль; идея; мнение; намерение|2|
行く|yuku|идти; ходить; уходить; уезжать; проходить; протекать|2|
行く|iku|идти; ходить; уходить; уезжать; проходить; протекать; после деепричастия указывает  на поступательность действия; слэнг  кончить; испытать оргазм|2|
行う|okonau|совершать; осуществлять|2|
行い|okonai|действие; поведение|2|
行|KOU|партия; группа в идиомах|2|
行|GYOU|строка (особ. вертикальная); религиозный обряд|2|
行|kudari|книжное:  вертикальная строка|2|
行きずり|yukizuri|случайный (напр. прохожий)|2|
行きずり|yukizurino|случайный (напр. прохожий)|2|
行きっきり|yukikkiri|надолго; навсегда (уезжать)|2|
行きっきり|yukikkirini|надолго; навсегда (уезжать)|2|
行かす|ikasu|просторечное:  неплохо!, здорово!, классно!|2|
高い|takai|высокий; дорогой; громкий|2|
高|taka|количество; сумма; повышение (в цене)|2|
高が|takaga|всего  навсего; самое большее|2|
高まる|takamaru|повышаться|2|
高める|takameru|повышать|2|
高ぶる|takaburu|важничать; заноситься|2|
高み|takami|возвышенность|2|
高らか|takaraka|громко; вслух|2|
高らか|takarakani|громко; вслух|2|
高々|takadaka|самое большее; максимум|2|
高々 と|takadaka to|очень высоко; громко; во весь голос|2|
高じる|KOUJIRU|усугубляться; ухудшаться|2|
合う|au|подходить  для чего  л.; совпадать; согласовываться; быть правильным; быть выгодным|2|
合わせる|awaseru|[при] соединять; согласовывать; сличать; сопоставлять; подсекать (рыбу)|2|
合わす|awasu|[при] соединять; согласовывать; сличать; сопоставлять; подсекать (рыбу)|2|
合わせて|awasete|вместе; всего|2|
合わせ|awase|подсечка (при ужении)|2|
合|GOU|мера площади (0,33  кв. м; 1/10  цубо); мера емкости (180  мл; 1/10  се); /10  подъема на вершину; сч. суф. для посуды с крышками; сч. суф. для скрещений мечей; астр. соединение|2|
国|kuni|страна; государство; родина; устаревшее:  провинция (в японии)|2|
国々|kuniguni|страны; государства|2|
黒|kuro|чернота|2|
黒い|kuroi|черный|2|
黒ずんだ|kurozunda|почерневший; смуглый|2|
黒ずんだ|kurozumu|почерневший; смуглый|2|
黒っぽい|kuroppoi|черноватый; темный|2|
黒める|kuromeru|чернить; зачернять|2|
黒まる|kuromaru|чернеть|2|
黒ばむ|kurobamu|чернеть|2|
黒 たる|kuroguro taru|черный  пречерный|2|
今|ima|сейчас; теперь|2|
今 の|ima no|нынешний; теперешний|2|
今 に|ima ni|скоро; рано или поздно; все еще|2|
今 に も|ima ni mo|вот  вот; в любой момент|2|
今 から|ima kara|отныне; впредь|2|
今 まで|ima made|до сих пор|2|
今 で も|ima de mo|и сейчас|2|
今や|imaya|теперь|2|
今めかしい|imamekashii|модный|2|
今めく|imameku|гнаться за модой|2|
今し|imashi|только что|2|
才|SAI|талант; дарование; интеллект; находчивость|2|
細い|hosoi|тонкий; узкий|2|
細る|hosoru|сужаться; заостряться|2|
細める|hosomeru|сужать|2|
細かい|komakai|мелкий; тонкий; подробный; тщательный; скупой|2|
細か|komaka|мелкий; тонкий; подробный; тщательный; скупой|2|
細か|komakana|мелкий; тонкий; подробный; тщательный; скупой|2|
細い|komai|мелкий; тонкий; подробный; тщательный; скупой|2|
細かしい|komakashii|малюсенький|2|
細やか|komayaka|миниатюрный; подробный; темный (о цвете); теплый (о чувствах)|2|
細やか|sasayaka|маленький; незначительный|2|
細やか|sasayakana|маленький; незначительный|2|
細々 と|komagoma to|подробнейшим образом|2|
細々 と した|komagoma to shita|всякие; различные|2|
細々 と した|hosoboso to shita|тонкий; хрупкий|2|
細々 と|hosoboso to|бедно; скудно (жить)|2|
か細い|kabosoi|тонкий; худой; щуплый; слабый|2|
作る|tsukuru|делать; создавать; изготовлять; возделывать; выращивать; готовить (еду); учреждать; организовывать; придавать вид; подкрашивать; вырабатывать; воспитывать; выдумывать|2|
お作り|otsukuri|косметика; грим; сасими (блюдо из рыбы)|2|
作|SAKU|произведение искусства; обработка земли в идиомах; урожай|2|
算|SAN|счет; расчет; расчеты; план; счеты; гадательные палочки; вероятность|2|
算する|SANSURU|насчитываться; составлять|2|
算なし|SANNASHI|несчетно; не счесть|2|
姉|ane|старшая сестра|2|
姉さん|neesan|старшая сестра; просторечное:  девушка|2|
お姉さん|oneesan|старшая сестра; просторечное:  девушка|2|
市|SHI|[крупный]  город|2|
市|ichi|рынок; базар|2|
思う|omou|думать; полагать; считать; надеяться; намереваться; заботиться; представлять себе|2|
思い|omoi|мысль; думы; ожидания; желания|2|
思わず|omowazu|невольно; невзначай|2|
思わぬ|omowanu|неожиданный|2|
思わぬ|omowan|неожиданный|2|
思わしい|omowashii|желательный; удовлетворительный|2|
思わせる|omowaseru|внушать; напоминать|2|
思われる|omowareru|казаться; считаться|2|
思えらく|omoeraku|полагаю; что...|2|
止む|yamu|прекращаться; переставать|2|
止める|yameru|прекращать; переставать; оставлять (службу и т.п.)|2|
止す|yosu|бросать; переставать (делать что  л.)|2|
止まる|tomaru|останавливаться; прекращаться; прерываться|2|
止まり|tomari|остановка; конец маршрута|2|
止める|tomeru|останавливать; задерживать; выключать (газ; радио и т.п.); удерживать; отговаривать|2|
止まる|todomaru|останавливаться; ограничиваться  чем  л.|2|
止める|todomeru|останавливать; заканчивать; ограничиваться  чем  л.|2|
止め|todome|книжное:  последний удар|2|
止めに なる|yameni naru|прекращаться|2|
紙|kami|бумага|2|
寺|tera|буддийский храм|2|
時|toki|время (в разн. знач.); когда; в то время как...|2|
時々|tokidoki|время от времени; иногда|2|
時々 の|tokidoki no|случающийся время от времени; нерегулярный|2|
時には|tokiniha|временами; иногда|2|
時には|tokiniwa|временами; иногда|2|
時めく|tokimeku|пользоваться успехом; процветать|2|
自ら|mizukara|сам; лично|2|
自ら の|mizukara no|свой собственный|2|
自ずから|onozukara|само собой; спонтанно|2|
自ずと|onozuto|само собой; спонтанно|2|
室|SHITSU|комната; помещение; камера; уст. жена|2|
室|muro|теплица; парник; погреб|2|
社|yashiro|святилище; синтоистский храм|2|
社|SHA|святилище; фирма; компания|2|
弱い|yowai|слабый|2|
弱る|yowaru|слабеть; попадать в сложное положение|2|
弱まる|yowamaru|слабеть; ослабевать|2|
弱める|yowameru|ослаблять|2|
弱々しい|yowayowashii|слабенький; хилый|2|
か弱い|kayowai|слабый; нежный; беспомощный|2|
ひ弱い|hiyowai|слабый; хрупкий; хилый|2|
弱|JAKU|связ. слабость; сущ. слабый; слабые|2|
首|kubi|шея; голова; горлышко; узкая часть|2|
首 に する|kubi ni suru|уволить; рассчитать|2|
首 に なる|kubi ni naru|быть уволенным|2|
秋|aki|осень|2|
秋 の|aki no|осенний|2|
秋|toki|книжное:  критическое время; роковой момент|2|
週|SHUU|неделя|2|
春|haru|весна; переносное:  любовь; страсть|2|
春 の|haru no|весенний|2|
書く|kaku|писать; проводить линии; чертить; рисовать|2|
少ない|sukunai|немногочисленный; мало|2|
少し|sukoshi|немного; немножко|2|
少々|SHOUSHOU|немного; немножко|2|
少なくも|sukunakumo|по меньшей мере|2|
少なくとも|sukunakutomo|по меньшей мере|2|
少なからぬ|sukunakaranu|немалый; значительный|2|
少しずつ|sukoshizutsu|понемногу|2|
場|ba|место; ситуация; момент; театр. сцена; явление; физ. поле; рынок; биржа|2|
色|iro|цвет; окраска; выражение лица; облик; любовные наслаждения; сорт; вид; тип|2|
色づく|iroduku|окрашиваться; менять цвет|2|
色づく|irozuku|окрашиваться; менять цвет|2|
色めく|iromeku|окрашиваться; менять цвет; оживляться; возбуждаться; дрогнуть (о войсках)|2|
色っぽい|iroppoi|соблазнительный; сексуальный|2|
色めかしい|iromekashii|соблазнительный; сексуальный|2|
色々 な|iroiro na|всяческие; различные|2|
色んな な|ironna na|всяческие; различные|2|
食|SHOKU|еда; пища; прием пищи|2|
食べる|taberu|есть; переносное:  жить; существовать|2|
食う|kuu|разговорное:; есть; переносное:  жить; существовать|2|
食らう|kurau|грубо разговорное:; есть; переносное:  жить; существовать|2|
食らわす|kurawasu|кормить; наносить (удар)|2|
食む|hamu|есть; жрать; щипать (траву); ист. получать на прокорм|2|
心|kokoro|душа; сердце; чувства|2|
心 から|kokoro kara|от души|2|
心|SHIN|сердце; душа; сердцевина; ядро|2|
心する|kokorosuru|принимать к сердцу|2|
心ならずも|kokoronarazumo|против воли; нехотя|2|
新しい|atarashii|новый|2|
新しく|atarashiku|недавно; заново|2|
新しがる|atarashigaru|гоняться за новизной|2|
新た な|arata na|новый|2|
新た に|arata ni|заново; снова|2|
新|ara|[совершенно]  новый|2|
新|SHIN|новое; новизна в идиомах; григорианский календарь|2|
親|oya|родители; отец  [и мать]; переносное:  создатель  чего  л.; сдающий (карты), понтер|2|
親|SHIN|родственники|2|
親しい|shitashii|дружеский; близкий; задушевный|2|
親しく|shitashiku|дружески; лично|2|
親しむ|shitashimu|сблизиться; подружиться|2|
親しみ|shitashimi|дружба; близость|2|
図|ZU|чертеж; план; карта; диаграмма; рисунок|2|
図る|hakaru|заботиться  о чем  л., стремиться  к чему  л.; замышлять; намереваться|2|
図らずも|hakarazumo|неожиданно; ненамеренно|2|
図らざる|hakarazaru|книжное:  неожиданный; непредвиденный|2|
図々しい|zuuzuushii|нахальный; наглый|2|
数|SUU|цифра; число; исход; результат; судьба; закон (природы и т.п.)|2|
数|kazu|число; количество|2|
数える|kazoeru|считать; подсчитывать; насчитывать [ся]|2|
お数|okazu|закуска к рису|2|
数|kazuno ko|сушеная икра сельди|2|
数ならぬ|kazunaranu|незначительный; ничтожный|2|
数々|kazukazu|многочисленный|2|
数|shibashiba|часто|2|
星|hoshi|звезда; пятно; пятнышко; отметка; звездочка; центр мишени; спорт. очки; баллы; полиц. жарг. преступник|2|
晴れる|hareru|проясняться (о погоде); проходить (о дожде); рассеиваться (о грусти и т.п.)|2|
晴らす|harasu|разгонять (тоску и т.п.)|2|
晴れ|hare|ясная погода|2|
晴れ の|hare no|связ. публичный; торжественный|2|
晴れて|harete|открыто; официально|2|
晴れやか|hareyaka|сияющий; радостный|2|
晴れやか|hareyakana|сияющий; радостный|2|
晴れがましい|haregamashii|пышный; показной (о вечере; приеме); открытый чужим взглядам|2|
晴々しい|harebareshii|ясный; безоблачный; бодрый; веселый|2|
晴々した|harebareshita|ясный; безоблачный; бодрый; веселый|2|
声|koe|голос|2|
西|nishi|запад|2|
西 の|nishi no|западный|2|
切る|kiru|резать; рубить (дерево); зарубить (человека); срезать; стричь; обрывать; прерывать; разъединять; пересекать (напр. дорогу); отжимать (воду); тасовать (карты); сбавлять (цену); крутить (руль); критиковать; разоблачать|2|
切り|kiri|предел; конец; заключительная фраза; постпоз. частица  только; постпоз. частица  в последний раз  и больше не...; козырь; заключительная пьеса|2|
切り の ない|kiri no nai|бесконечный|2|
切れる|kireru|хорошо резать; быть острым; быть порезанным; рваться; прерываться; износиться; порваться; порвать  [отношения] с кем  л.; кончаться; быть недостаточным|2|
切れ|kire|кусок; ломоть; клочок; лоскут; щепка; отрез (ткани)|2|
切っての|kitteno|самый  [лучший]  из...|2|
切|SETSU|выкл (метка на выключателе)|2|
切 に|SETSU ni|остро (напр. чувствовать)|2|
切 な[る]|SETSU na[ru]|страстный; горячий; настоятельный; настойчивый|2|
切ない|SETSUNAI|тяжелый; мучительный|2|
切々 たる|SETSUSETSU taru|горячий; страстный|2|
雪|yuki|снег|2|
雪ぐ|susugu|смывать; полоскать|2|
線|SEN|линия; черта; рубеж; курс; линия (телефонная; ж/д и т.п.)|2|
船|fune|судно; лодка|2|
前|mae|перед; в  чьем  л. присутствии; перед  кем  л.; гениталии|2|
前 に|mae ni|впереди; раньше; заранее|2|
前 の|mae no|передний; прежний; прошлый|2|
お前|omae|грубо  ты|2|
前々 から|maemae kara|уже давно; задолго до  чего  л.|2|
組む|kumu|составлять; собирать; организовывать (группу); объединяться; соединяться; сцепиться  с кем  л.(в схватке); сплетать; скрещивать; плести (напр. шнур); полигр. набирать|2|
組|kumi|группа; класс (в школе); команда; бригада; звено; компания; комплект; набор; колода (карт); полигр. набор|2|
組する|kumisuru|участвовать|2|
走る|hashiru|бежать; идти (о поезде; судне и т.п.); хватать через край; перебарщивать|2|
走り|hashiri|бег; движение; первый урожай  или  улов; диал. кухонная раковина|2|
走り の|hashiri no|ранний (о товарах на рынке)|2|
多い|ooi|много; многочисленный; обильный; частый|2|
多く の|ooku no|много; большое количество|2|
多く|ooku|главным образом; большей частью|2|
多 と する|TA to suru|ценить; признавать|2|
多々|TATA|очень много; огромное количество|2|
太い|futoi|толстый; жирный; наглый; бесстыдный|2|
太る|futoru|толстеть|2|
太った|futotta|толстый|2|
太らす|futorasu|откармливать; обогащать|2|
太っちょ|futotcho|просторечное:  толстяк|2|
太やか|futoyaka|толстый; тучный|2|
体|karada|чье  л. тело; телосложение; фигура; здоровье; замещает понятия|2|
体|TEI|внешний вид; состояние  чего  л.|2|
体|TAI|[человеческое]  тело; корпус; предмет; субстанция; реальность; форма; стиль; мат. поле|2|
体する|TAISURU|выполнять (замысел; волю)|2|
体たらく|teitaraku|разговорное: [плохое]  положение дел|2|
台|DAI|подставка; подпорка любого вида:  стойка; стеллаж; станина; тумба; козлы; быки; пьедестал; рама; штатив; цоколь; подмостки; помост; эстрада; трибуна|2|
台|utena|бот. чашечка цветка; высокий дворец; башня|2|
谷|tani|долина; лощина; ущелье|2|
谷まる|kiwamaru|прийти к концу; зайти в тупик|2|
知る|shiru|знать; узнавать; знакомиться  с кем  л.; понять; заметить; почувствовать; судить  о чем  л., догадываться; иметь отношение  к чему  л.|2|
知らせる|shiraseru|давать знать; извещать|2|
知らせ|shirase|извещение; уведомление; предвестие; предзнаменование|2|
知れる|shireru|стать известным; стать явным|2|
知れた|shireta|очевидный; простой; мелкий; пустяшный|2|
か も 知れない|ka mo shirenai|может быть|2|
知|CHI|ум; интеллект; мудрость; знания; замысел; план; уловка|2|
地|CHI|земля; почва; местность; район|2|
地|JI|земля; почва; местность; район; выделка  [ткани]; фон; поле; захваченное пространство (в игре го); авторский текст (в отличие от диалога); хор; партия хора (в театре но); аккомпанемент|2|
地 の|JI no|натуральный; свой (о голосе и т.п.); несведущий; неопытный|2|
地 で|JI de|в реальности; на практике|2|
地べた|jibeta|просторечное:  голая земля|2|
池|ike|пруд; водоем|2|
茶|CHA|чай (растение и напиток); чайная церемония|2|
お茶|OCHA|разговорное: [зеленый]  чай; чаепитие|2|
茶っぽい|chappoi|коричневатый|2|
茶がかった|chagakatta|коричневатый|2|
昼|hiru|дневное время; середина дня; переносное:  обед|2|
朝|asa|утро|2|
朝 に|asa ni|утром|2|
朝 の|asa no|утренний|2|
朝|ashita|поэт. утро|2|
朝|CHOU|династия; царствование; эпоха; двор (монарха); власть; правительство|2|
朝する|CHOUSURU|являться ко двору; впадать (о реке)|2|
朝っぱら|asappara|просторечное:  с утра пораньше|2|
長い|nagai|длинный; долгий; длительный|2|
長の|nagano|долгий; вечный|2|
長らく|nagaraku|книжное:  долго|2|
長らえる|nagaraeru|жить долго|2|
長たらしい|nagatarashii|разговорное:  растянутый; слишком длинный|2|
長々しい|naganagashii|разговорное:  растянутый; слишком длинный|2|
長々|naganaga|длинно; долго|2|
長|CHOU|начальник; глава; положительные стороны; достоинства; превосходство; преимущество|2|
長じる|CHOUJIRU|расти; становиться старше; быть старше по возрасту; быть знатоком; быть мастером|2|
長|osa|устаревшее:  начальник; глава|2|
長ける|takeru|иметь опыт; хорошо знать  что  л.; стареть|2|
長める|nagameru|удлинять; продлевать|2|
長え|tokoshie|вечно; навеки|2|
長なえ|tokoshinae|вечно; навеки|2|
鳥|tori|птица; домашняя птица; курица|2|
直す|naosu|исправлять; поправлять; чинить; приводить в порядок; вылечивать; излечивать; изменять; перелагать; переводить|2|
直る|naoru|быть исправленным; выздоравливать; менять положение  на прежнее или лучшее|2|
直ぐ|sugu|сразу же; сейчас же; скоро; легко|2|
直ぐ な|sugu na|книжное:  прямой; честный|2|
直き|naoki|книжное:  честный; прямой; искренний|2|
直ちに|tadachini|сразу же; немедленно; прямо; непосредственно|2|
直|CHOKU|прямой; открытый; честный; недорогой|2|
直|JIKI|прямо; непосредственно; сразу же; сейчас же; легко; рядом; близко|2|
直か|jika|прямо; непосредственно; лично|2|
直か|jikani|прямо; непосредственно; лично|2|
直々 の|JIKIJIKI no|личный; непосредственный|2|
直々 に|JIKIJIKI ni|лично; персонально|2|
直と|hitato|тесно; вплотную|2|
通る|tooru|проходить; проезжать; проникать; пронизывать; быть прозрачным; проходить (голосование; экзамен); быть приемлемым; допускаться; доходить (о словах; смысле); иметь хождение; фигурировать; быть известным  [как...]|2|
通り|toori|улица; дорога; проезд; уличное движение; проходимость (труб и т.п.); слышимость; понятность; репутация; сорт; вид; способ; метод; как  что  л., согласно  чему  л.|2|
通す|toosu|давать пройти; пропускать; вдевать; пропускать (напр. нитку); провожать; отводить  кого  л.; пропускать (воду; свет и т.п.); провести (законопроект); отстоять (мнение)|2|
通し の|tooshi no|прямой; сквозной|2|
通し で|tooshi de|напрямик; без остановок|2|
通し する|tooshi suru|провести (в комнату и т.п.)|2|
お通し|otooshi|холодная закуска|2|
通う|kayou|ходить  [туда и обратно], курсировать; ходить (в школу; на работу); регулярно бывать; захаживать; циркулировать; передаваться; сообщаться|2|
通い|kayoi|курсирование (о транспорте); регулярное посещение; приходящий (служащий и т.п.); банковская книжка|2|
通じる|TSUUJIRU|непереходный глагол; вести  куда  л., доходить  до  чего  л.; быть проложенным; ходить; курсировать; работать (о телефоне и т.п.); быть в  [любовной]  связи; доходить; быть понятным; быть сведущим  в чем  л.; переходный глагол; передавать; пересылать; распространяться  по чему  л.; продолжаться (какое  л. время)|2|
通じて|TSUUJITE|через  [посредство]   кого  чего  л.; по всей (территории); на протяжении всего (времени)|2|
通じて と|TSUUJITE to|с согласия  кого  л.|2|
通じ|TSUUJI|стул; работа кишечника; влияние  на кого  л., отзвук (в душе)|2|
通|TSUU|знаток|2|
弟|otouto|младший брат|2|
弟|ototo|младший брат|2|
弟|TEI|младший брат|2|
弟|oto|архаичное:  младший брат; младшая сестра|2|
店|mise|лавка; магазин; заведение; фирма|2|
店|tana|лавка; сдающийся дом|2|
点|TEN|точка; отметка; балл; очко; пятнышко; дефект; пункт; момент; точка зрения|2|
点じる|TENJIRU|зажигать (свет); закапывать (лекарство); заваривать (чай)|2|
点ける|tsukeru|зажигать; включать (свет)|2|
点く|tsuku|зажигаться; загораться|2|
点す|tomosu|зажигать; включать (свет)|2|
点す|tobosu|зажигать; включать (свет)|2|
点る|tomoru|зажигаться; гореть (о свете)|2|
点る|toboru|зажигаться; гореть (о свете)|2|
点てる|tateru|заваривать (чай)|2|
点す|sasu|зажигать; прижигать|2|
点々|TENTEN|там и сям; местами; каплями|2|
冬|fuyu|зима|2|
冬 の|fuyu no|зимний|2|
刀|katana|катана; самурайский меч (изогнутый; однолезвийный)|2|
刀|TOU|меч; клинок; холодное оружие|2|
東|higashi|восток|2|
東 の|higashi no|восточный|2|
東|azuma|устаревшее:  восток  [о  ва хонсю]|2|
当たる|ataru|попадать  [в цель], ударяться; попадать (под дождь и т.п.); оказываться правильным; быть угаданным; сбываться; удаваться; иметь успех; соответствовать; равняться  чему  л.; приходиться  кому  л. кем  л.; падать  на какой  л. день; подходить; быть уместным; противостоять; бороться; отравиться  чем  л.; прозондировать; разузнать; доставаться; быть возложенным; лежать (в каком  л. направлении); как опред. ближайший (о дате); (плохо) обращаться  с кем  л.; быть попорченным (о фруктах); бриться|2|
当たって|atatte|[по направлению]  к; при; во время; в связи с|2|
当たり|atari|попадание; удача; успех; след; улика; связ. обхождение; манеры; клев; поклевка; испорченное место (на фруктах)|2|
当てる|ateru|накладывать; прикладывать; попадать  [в цель], ударяться; угадать; предназначать; иметь успех; выиграть (в лотерее); выставлять (на солнце и т.п.); вызывать (ученика на уроке); применять (кандзи) фонетически; класть подушку для сидения; переносное:  садиться|2|
当て|ate|цель; надежды; ожидания; расчеты; удар|2|
当て に する|ate ni suru|полагаться  на кого  что  л.|2|
当て に なる|ate ni naru|заслуживающий доверия|2|
当てられる|aterareru|страдать  чем  л.; испытывать раздражение  от чего  л.|2|
当に|masani|было бы естественно (что  л. сделать)|2|
当|TOU|правильность; уместность в идиомах|2|
当 の|TOU no|этот; данный; упомянутый|2|
当てっこ|atekko|игра в угадывание|2|
当てずっぽう|atezuppou|сказанное наобум; взятое с потолка|2|
答える|kotaeru|отвечать|2|
答え|kotae|ответ|2|
答え|irae|архаичное:  ответ|2|
頭|atama|голова; ум; мысли; образ мыслей; глава; руководитель; верхушка; верх|2|
頭|kashira|голова; волосы на голове; глава; вожак|2|
頭|kaburi|голова|2|
頭ごなし|atamagonashi|строго; беспощадно|2|
頭でっかち|atamadekkachi|большеголовый|2|
頭|koube|голова (в женской речи)|2|
頭|tsumuri|редко  голова|2|
同じ|onaji|одинаковый; такой же; тот же|2|
同じく|onajiku|одинаково; точно так же|2|
同じる|DOUJIRU|соглашаться|2|
道|michi|дорога; путь; расстояние; путь; способ; средство; нравственность; правильное поведение; область (искусства и т.п.), стезя|2|
道 なら ぬ|michi nara nu|недопустимый|2|
道すがら|michisugara|по дороге; в пути|2|
道|DOU|ист. область; провинция; сокр. хоккайдо; кит. дао (ключевое понятие даосизма)|2|
読む|yomu|читать|2|
読み|yomi|чтение; [японское]  чтение (иероглифа); счет ходов; предвидение (в игре)|2|
内|uchi|дом; семья|2|
内 の|uchi no|мой; наш|2|
内 に|uchi ni|внутри; среди; пока; в течение...|2|
内々 で|NAINAI de|конфиденциально; частным порядком|2|
内々 の|NAINAI no|конфиденциальный; секретный|2|
内々 で|uchiuchi de|частным образом; неофициально|2|
内々 の|uchiuchi no|частный; неофициальный|2|
南|minami|юг|2|
南 の|minami no|южный|2|
肉|NIKU|мясо; плоть; мякоть (плода); штемпельная подушка|2|
肉|shishi|архаичное: [съедобное]  мясо (животных)|2|
馬|uma|лошадь; конь|2|
買う|kau|покупать; приобретать; вызывать (чьи  л. чувства), навлекать  [на себя]; разговорное:  ценить; признавать; быть высокого мнения|2|
売る|uru|продавать; предавать; изменять|2|
売れる|ureru|продаваться; иметь сбыт|2|
麦|mugi|хлебные злаки; зерновые; хлеба|2|
半ば|nakaba|половина; наполовину; середина; центр|2|
半ば に|nakaba ni|в середине|2|
半|HAN|связ. нечетное число|2|
半々 に|HANHAN ni|пополам|2|
半々 の|HANHAN no|половина на  половину; пятьдесят на пятьдесят|2|
半々 に する|HANHAN ni suru|разделить пополам|2|
番|BAN|очередь; черед; дежурство; охрана; караул; сторож|2|
番 する|BAN suru|сторожить|2|
番い|tsugai|пара (самец и самка); сустав; шарнир|2|
