Japanese|Romaji|English|Utility|Type
頭|atama|head; mind; intellect; thoughts; way of thinking; leader; chief; head; top; upper end; beginning|2|
頭|kashira|head; hair of the head; chief; master; boss|2|
頭|kaburi|head|2|
頭ごなし|atamagonashi|unsparingly|2|
頭でっかち|atamadekkachi|top  heavy|2|
頭|koube|head (in feminine speech)|2|
頭|tsumuri|rare  head|2|
同じ|onaji|same; similar; identical|2|
同じく|onajiku|in the same way; similarly|2|
同じる|DOUJIRU|agree|2|
道|michi|road; way; path; distance; way of doing  smth., means; morality; right way of life; field (of art etc.), line of work|2|
道 なら ぬ|michi nara nu|illicit; improper|2|
道すがら|michisugara|on the way|2|
道|DOU|hist. area; province; abbrev. Hokkaido; Tao (the basic concept in Taoism)|2|
読む|yomu|read|2|
読み|yomi|reading; [Japanese]  reading (of a kanji); foresight; judgement (in a game)|2|
内|uchi|house; home; family|2|
内 の|uchi no|my; our|2|
内 に|uchi ni|inside; among; between; within; while; during|2|
内々 で|NAINAI de|confidentially; in private|2|
内々 の|NAINAI no|confidential; secret; private|2|
内々 で|uchiuchi de|in private; informally|2|
内々 の|uchiuchi no|private; informal|2|
南|minami|south|2|
南 の|minami no|southern|2|
肉|NIKU|meat; flesh; pulp; flesh (of fruit); inkpad|2|
肉|shishi|arch: [edible]  meat (of animals)|2|
馬|uma|horse|2|
買う|kau|buy; purchase; incur; evoke; colloquial:  appreciate|2|
売る|uru|sell; betray|2|
売れる|ureru|sell; be in demand|2|
麦|mugi|cereals (wheat; rye; barley; oats)|2|
半ば|nakaba|half; semi; partially; middle; center|2|
半ば に|nakaba ni|in the middle; halfway|2|
半|HAN|odd number|2|
半々 の|HANHAN no|half  and  half; fifty  fifty|2|
半々 に する|HANHAN ni suru|divide into halves|2|
番|BAN|one's turn; one's duty; shift; watch; guard; keeper|2|
番 する|BAN suru|keep watch; guard|2|
番い|tsugai|couple; brace; pair; joint; hinge|2|
番う|tsugau|pair; mate; copulate|2|
番える|tsugaeru|pair; mate; notch (an arrow); exchange (promises)|2|
父|chichi|father|2|
お父さん|otousan|father; daddy|2|
父さあん|tousaan|father; daddy|2|
風|kaze|wind; breeze|2|
風|FUU|manners; customs; habits; appearance; look; air; way; style; kind|2|
こんな風に|KONNA FUUNI|in this way|2|
こう いう風|KOU IU FUUNI|in this way|2|
分かる|wakaru|understand; be understood; know; be known; recognize  smb.|2|
分かつ|wakatsu|divide; separate; split; share; distinguish; distribute|2|
分ける|wakeru|part; divide; separate; share; apportion; allot; group; sort; classify|2|
分けて|wakete|above all; before everything else; particularly; especially; still more; much more|2|
分け|wake|division; sharing; draw; drawn game|2|
分かれる|wakareru|divide; come apart; branch off; diverge; disperse; bid farewell; divorce|2|
分かり|wakari|understanding|2|
分|BUN|part; portion; share; quantity; amount; one's lot; one's status; one's part; one's duty; lot; kind (of goods); condition; state; rate|2|
分|BU|percent; 0.01; part (esp.1/10); percentage; commission; unit of length (1/10  of a sun; 3.03  mm); unit of footwear size (1/10  of a mon; 2.4  mm); old monetary unit (1/4  of a ryo); thickness in idioms:|2|
分|FUN|minute (unit of time); minute (unit of angular measure); unit of weight (1/10  of a momme; 0,375  g)|2|
聞く|kiku|hear; obey; follow; inquire; ask|2|
聞こえる|kikoeru|be heard; be audible; sound; ring; seem; be known; be famed; be reasonable|2|
聞かす|kikasu|tell; inform; let  smb. hear|2|
聞かせる|kikaseru|tell; inform; let  smb. hear|2|
米|kome|rice (grain)|2|
米|yone|eleg: rice; th birthday (see below)|2|
米|meetoru|meter|2|
米|BEI|abbrev. USA|2|
歩く|aruku|walk; go on foot|2|
歩む|ayumu|eleg: walk; go on foot|2|
歩み|ayumi|walking; step; pace|2|
歩|HO|step; pace; abbrev. foot soldier; infantry|2|
歩|FU|pawn (chess piece in shogi)|2|
歩|BU|unit of square measure (3.3  sq. m; 36  sq. shaku); percentage; commission; degree of profit|2|
母|haha|mother|2|
お母さん|okaasan|mother; mama|2|
母さん|kaasan|mom; mum; mother|2|
方|HOU|direction; side; part; function word used for comparison|2|
方|kata|direction; polite  person|2|
方に|masani|lit:  right now; precisely now|2|
方に|masa|lit:  right now; precisely now|2|
方々|katagata|all people; ladies and gentlemen|2|
方々|HOUBOU|every direction; everywhere|2|
北|kita|north|2|
北 の|kita no|northern|2|
妹|imouto|younger sister|2|
毎々|MAIMAI|rare  each time|2|
毎々|goto|rare  each time|2|
万|MAN|ten thousand|2|
万|yorozu|ten thousand; all things; everything|2|
万々|BANBAN|very much; fully; neg. never; by no means|2|
明かり|akari|light; lamp|2|
明るい|akarui|literal or figurative:  bright; light; clear; fair; uncorrupt; well versed in  smth.|2|
明らか|akiraka|literal or figurative:  bright; light; clear; fair; uncorrupt; well versed in  smth.; clear; distinct; obvious|2|
明らか|akirakana|literal or figurative:  bright; light; clear; fair; uncorrupt; well versed in  smth.; clear; distinct; obvious|2|
明るみ に (で)|akarumi ni (de)|in the light|2|
明らむ|akaramu|brighten (as of the sky)|2|
明ける|akeru|dawn; break; become light; begin; open (as of the new year etc.); be over; expire|2|
明く|aku|open (esp. of one's eyes); be settled; be put in order; expire; be over|2|
明かす|akasu|stay up all night (doing smth.); reveal; disclose; divulge; confide|2|
明くる|akuru|next; following (day; month etc.)|2|
明|MEI|lit:  eyesight; discernment|2|
明|MIN|Ming dynasty (China; 1368-1644)|2|
明々 と|akaaka to|brightly|2|
鳴く|naku|sing; chirp; twitter; warble; crow; cluck; quack; cry; bark; howl; roar; yelp; meow; neigh; bellow; bleat; grunt etc.|2|
鳴る|naru|sound; resound; ring; figurative:  be famous|2|
鳴り|nari|sound; ringing|2|
鳴らす|narasu|ring; sound; chime; clank; clink; clap; blow (a whistle), beat (a drum)etc.; figurative:  air (one's grievances), complain; figurative:  be widely known; be famous|2|
毛|ke|hair; fur; wool|2|
毛|MOU|/1000  of 10 %; 0.0001; unit of length (0.03  mm; 1/1000  of a sun); unit of weight (3.75  mg; 1/1000  of a momme); old monetary unit (0.01  of a sen)|2|
毛ほども|kehodomo|[not]  a grain; [not]  a bit|2|
毛だらけ の|kedarake no|hairy|2|
毛むくじゃら の|kemukujara no|informal:  hairy; shaggy|2|
門|MON|gate; entrance; school (religious or scientific); biol. phylum; division|2|
門|kado|gate; gateway; entrance|2|
夜|yoru|night; late evening|2|
夜|yo|night; late evening|2|
夜々|yoyo|every night; night after night|2|
野|no|[uncultivated]  field; open country|2|
野 の|no no|wild (plants; animals)|2|
野|YA|nongovernmental spheres; opposition; field; open country|2|
矢|ya|arrow; dart; wedge|2|
友|tomo|friend; companion|2|
用いる|mochiiru|use; employ; apply; utilize; employ; give a position|2|
用|YOU|business; errand; utility; usefulness; expenses; call of nature; relieving oneself|2|
来る|kuru|come  [over], come near; arrive; visit; come round; set in (as of seasons); come; derive; be due to  smth.; after a verb in ' te' form:  a)  get; grow; become; come to be  b)  come  [back]  after doing  smth.|2|
来たる|kitaru|come; arrive; the coming; to come; next|2|
来たす|kitasu|bring about; cause|2|
理|RI|reason; line of thought; truth; justice; principle; law|2|
理|kotowari|obsolete:  reason|2|
里|sato|village; countryside; hometown; birthplace; [one's wife's]  parents' home|2|
里|RI|unit of length (3.927  km; 36  cho)|2|
話す|hanasu|speak; talk; tell|2|
話|hanashi|talk; conversation; story; tale; fable; rumor; report; consultation; negotiations; facts; reasons|2|
悪|AKU|evil; vice; badness|3|
悪い|warui|bad (in various meanings); blamable; in fault|3|
悪し|ashi|arch:  bad|3|
悪しからず|ashikarazu|[don't take it]  amiss|3|
悪たれる|akutareru|informal:  do mischief|3|
悪たれ|akutare|> informal:; mischief; abusive words; rowdy; naughty boy|3|
悪たれ|nikui|> informal:; mischief; abusive words; rowdy; naughty boy|3|
安い|yasui|cheap; inexpensive; peaceful; quiet; tranquil|3|
安っぽい|yasuppoi|cheapish; tasteless|3|
安らか|yasuraka|quiet; peaceful; quiet; peaceful|3|
安らぎ|yasuragi|peace of mind|3|
安んじる|yasunjiru|be contented; be at ease|3|
安まる|yasumaru|be relieved|3|
安らう|yasurau|rest; relax|3|
安ぴか|yasupika|bauble; cheap finery|3|
安々 と|yasuyasu to|very easily; without trouble|3|
安んぞ|izukunzo|lit:  how; why|3|
暗い|kurai|dark; dim; faint; gloomy; somber; shady; bad; ignorant|3|
暗がり|kuragari|darkness; gloom|3|
暗む|kuramu|feel dizzy|3|
暗ます|kuramasu|conceal; cheat|3|
暗に|ANNI|tacitly; implicitly; indirectly|3|
委ねる|yudaneru|entrust; commit; delegate; devote oneself to  smth.|3|
委せる|makaseru|leave (a matter) up to  smb., entrust  smb. with a task|3|
委しい|kuwashii|well  informed|3|
意|I|mind; heart; thoughts; feelings; intention; desire; will; meaning; sense; purport|3|
医|I|lit:  medicine; art of healing|3|
医する|ISURU|cure; heal|3|
育てる|sodateru|bring up; educate; breed; rear; raise|3|
育つ|sodatsu|grow up; be brought up|3|
育ち|sodachi|growth; breeding; upbringing|3|
育む|hagukumu|sit on (eggs); bring up; foster; nurse|3|
員|IN|member of a staff|3|
飲む|nomu|drink; swallow; smoke|3|
飲んだくれる|nondakureru|informal:  be dead drunk|3|
飲んだくれ|nondakure|informal:  heavy drinker|3|
院|IN|>  abbrev.; institution (see below); Diet; Diet Chamber|3|
運|UN|destiny; fate; fortune|3|
運ぶ|hakobu|vt  carry; transport; convey; vi  progress; advance; go on  [well]|3|
運び|hakobi|progress; development; arrangements; paving the way; stage; state of affairs; step; pace|3|
泳ぐ|oyogu|swim|3|
泳ぎ|oyogi|swimming|3|
駅|EKI|station|3|
横|yoko|side; flank; transverse direction; width|3|
横 の|yoko no|horizontal; lateral|3|
横 に|yoko ni|across; crosswise; sideways; horizontally|3|
横 に なる|yoko ni naru|lie down|3|
横 に する|yoko ni suru|lay  [down]|3|
横 から|yoko kara|from the flank|3|
横たわる|yokotawaru|lie down; stretch out|3|
横たえる|yokotaeru|lay  [oneself]  down; place across|3|
屋|OKU|roof; house|3|
屋|ya|roof; house|3|
温かい|atatakai|warm|3|
温か|atataka|warm|3|
温か|atatakana|warm|3|
温まる|atatamaru|warm oneself; be heated; get warm|3|
温める|atatameru|warm up; heat|3|
温み|nukumi|[slight]  warmth|3|
温もり|nukumori|[slight]  warmth|3|
温々 と|nukunuku to|warmly; snugly; brazenly; impudently|3|
温々 と した|nukunuku to shita|comfortably warm|3|
温い|nukui|[slightly]  warm|3|
化ける|bakeru|transform oneself; disguise oneself|3|
化かす|bakasu|bewitch; enchant|3|
お化け|obake|transformed monster|3|
化する|KASURU|> lit:; transform (convert; change) into  smth.; influence; make; render|3|
化す|KASU|> lit:; transform (convert; change) into  smth.; influence; make; render|3|
化す|KESU|> lit:; transform (convert; change) into  smth.; influence; make; render|3|
荷|ni|load; cargo; freight; luggage; figurative:  load; burden|3|
荷なう|ninau|carry|3|
界|sakai|bound|3|
開く|hiraku|open; uncover; unfold; undo; open; start; found; establish; open up (virgin land etc.); hold (a meeting), give (a party); enlighten; edify; civilize; cut open (a fish); elec. break (a circuit); bloom; come out (as of flowers); widen; grow bigger; have a margin|3|
開ける|hirakeru|be opened  [to traffic]; develop; grow; become civilized; gain experience; learn what is what|3|
開ける|akeru|open (a door; an envelop; one's eyes etc.); bound  make (bore; drill) a hole|3|
開く|aku|open; become open|3|
開き|hiraki|opening; difference; disparity; gap; split and dried fish; [hinged]  door; opt. aperture; mar. tack|3|
お開き|ohiraki|breaking up (a party etc.)|3|
お開き に する|ohiraki ni suru|break up|3|
お開き に なる|ohiraki ni naru|finish|3|
開ける|hadakeru|open; expose; bare|3|
階|KAI|story; floor; flight; stairs; staircase; grade; level; geol. stage|3|
階|kizahashi|lit:  steps; stairway|3|
寒|KAN|coldest season in idioms:|3|
寒い|samui|cold; chilly|3|
寒がる|samugaru|be sensitive to cold|3|
寒々 した|samuzamu shita|wintry; bleak|3|
寒々しい した|samuzamushii shita|wintry; bleak|3|
感じ|KANJI|feeling; sense; impression|3|
感|KAN|feeling; sense; impression|3|
感じる|KANJIRU|feel; experience; be conscious of; be impressed|3|
漢|KAN|Han dynasty (China; 206  BC — 220  AD)|3|
館|yakata|obsolete:  mansion; palace|3|
館|tachi|obsolete:  mansion; palace; fort|3|
館|tate|obsolete:  mansion; palace; fort|3|
岸|kishi|shore; bank; coast; beach|3|
期|KI|period; time; term|3|
期する|KISURU|expect; anticipate; fix a date|3|
期す|KISU|expect; anticipate; fix a date|3|
期|GO|[critical]  moment|3|
起きる|okiru|get up; rise to one's feet; wake up; be up; occur; happen|3|
起こる|okoru|occur; happen; take place|3|
起こり|okori|origin; source; beginning|3|
起こす|okosu|raise up; set upright; wake up; establish; set up; start; give rise to; produce; generate|3|
起つ|tatsu|figurative:  rise (to action)|3|
客|KYAKU|guest; visitor; customer; client; passenger|3|
お客さN|OKYAKUSAN|guest; visitor; customer; client; passenger|3|
宮|miya|Shinto shrine; imperial palace|3|
急|KYUU|urgency; suddenness; emergency; crisis|3|
急 な|KYUU na|urgent; sudden; steep|3|
急ぐ|isogu|hurry up; hasten|3|
急いで|isoide|hurriedly|3|
急ぎ|isogi|haste; hurry|3|
急ぎ の|isogi no|urgent; hurried; hasty|3|
急く|seku|make haste; be impatient|3|
急かす|sekasu|rush; hurry; expedite|3|
球|tama|ball; sphere; bulb; bead; billiard|3|
究める|kiwameru|master; study exhaustively|3|
級|KYUU|grade; class; rank; level; degree|3|
去る|saru|go away; leave; depart; pass; go by; remove; take off; get rid of; be distant from; last (specifying a date)|3|
去なす|inasu|let go; chase away|3|
橋|hashi|bridge|3|
業|GYOU|occupation; business; work; course of study|3|
業|GOU|Buddh. karma|3|
業|waza|act; deed; art; trick (in sports)|3|
局|KYOKU|bureau; department; public office; post office; broadcasting station etc.; situation; circumstances in idioms:|3|
局|tsubone|apartment of a court lady; court lady|3|
曲|KYOKU|piece of music; composition; melody; pleasure; interest; injustice; fault|3|
曲げる|mageru|bend; curve; lean; bow; distort; twist; strain; pervert; depart (from principles); informal:  paw; put in hock|3|
曲がる|magaru|bend; curve; be crooked; turn|3|
曲|kuse|, part of Noh play|3|
銀|GIN|silver; shogi  the Silver|3|
銀|shirogane|eleg: silver|3|
区|KU|ward; municipal district|3|
区々|KUKU|various; diverse; petty|3|
区|machimachino|various; diverse|3|
苦しい|kurushii|hard; tormenting; needy|3|
苦しむ|kurushimu|suffer; groan|3|
苦しみ|kurushimi|suffering; pain|3|
苦しめる|kurushimeru|torment; inflict pain|3|
苦い|nigai|bitter|3|
苦る|nigaru|feel bitter; scowl|3|
苦む|nigamu|feel bitter; scowl|3|
苦々しい|niganigashii|unpleasant; disgusting; shameful; scandalous|3|
ほろ苦い|horonigai|slightly bitter|3|
苦|KU|suffering; distress; hardships; toil; worry; trouble|3|
苦 も なく|KU mo naku|easily; without effort|3|
具|GU|tool; means; ingredient (in a dish)|3|
具 と する|GU to suru|make  smb. or smth. a tool for  smth.|3|
具する|GUSURU|have; possess; be accompanied by|3|
具に|tsubusani|minutely; in detail|3|
具える|sonaeru|provide; equip; install; furnish; stock; get ready for  smth., make preparations; possess (knowledge; talent etc.)|3|
具わる|sonawaru|be provided (equipped) with  smth.|3|
具わる が|sonawaru ga|be endowed with (talent etc.)|3|
君|kimi|you (singular familiar pronoun); obsolete:  sovereign; emperor|3|
君 の|kimi no|your|3|
係|kakari|charge; duty; concern; person in charge|3|
係る|kakaru|lit:  be made by  smb., be  smb. 's  work|3|
係わる|kakawaru|be concerned in  smth., have to do with  smth.; affect; threaten; stick to (an opinion)|3|
軽い|karui|light (not heavy; not intense; not difficult; not important etc.)|3|
軽やか|karoyaka|light (not heavy; not intense; not difficult; not important etc.)|3|
軽やか|karoyakana|light (not heavy; not intense; not difficult; not important etc.)|3|
軽んじる|karonjiru|make light of  smth., slight; neglect|3|
軽はずみ|karuhazumi|rash; hasty; thoughtless|3|
軽はずみ|karuhazumina|rash; hasty; thoughtless|3|
軽々 と|karugaru to|lightly; easily; without effort|3|
軽々しい|karugarushii|thoughtless; careless; rash; imprudent; indiscreet|3|
決める|kimeru|decide; fix; settle; determine|3|
決まる|kimaru|be decided; be settled; be arranged|3|
決まる に|kimaru ni|be certain; be a matter of course|3|
決まり|kimari|settlement; conclusion; agreement; arrangement; rule; order; method; system; custom; convention; habit; usage; bound [awkward]  feeling|3|
決まり の|kimari no|usual; conventional; regular|3|
決め|kime|arrangement; agreement; condition|3|
決|KETSU|decision; vote in idioms:|3|
決する|KESSURU|come to a decision; be settled; be decided; break; give way (as of a dike)|3|
決して|KESSHITE|by no means|3|
血|chi|blood|3|
血ばむ|chibamu|become bloody|3|
血だらけ|chidarake|bloody; bloodstained|3|
血だらけ|chidarakeno|bloody; bloodstained|3|
研ぐ|togu|sharpen; whet; grind; polish; scour; wash (rice)|3|
研く|migaku|polish; scour|3|
県|KEN|prefecture (in Japan); county; xian (in China); province; district (in other countries)|3|
庫|kura|warehouse; storehouse|3|
湖|mizuumi|lake|3|
向こう|mukou|the other side; over there; they; the other party; opponent; destination|3|
向かう|mukau|face; front; look upon; oppose; confront; head toward; go toward; proceed to; tend toward|3|
向かい|mukai|on the opposite side|3|
向かって|mukatte|toward; facing; against|3|
向ける|mukeru|turn toward; point at; send; forward; appropriate for|3|
向く|muku|accidentally erased|3|
向き|muki|direction; turn; inclination; tendency; suitability|3|
向き に なる|muki ni naru|become serious|3|
幸せ|shiawase|r0838 happiness; good fortune|3|
幸せ な|shiawase na|fortunate; happy; lucky|3|
幸い|saiwai|happiness; prosperity; good fortune|3|
幸|sachi|happiness; good luck; successful hunting; fishing etc.; catch game|3|
港|minato|harbor; port|3|
号|GOU|number; issue; pen name; pseudonym|3|
号する|GOUSURU|call; name; declare|3|
根|ne|root; base; foundation; source; origin|3|
根|KON|math. root; radical; chem. radical; perseverance in idioms:|3|
根っから|nekkara|(not) at all; (not) in the least|3|
根こそぎ|nekosogi|completely; root and branch|3|
根こそげ|nekosoge|completely; root and branch|3|
祭り|matsuri|festival; feast; celebration|3|
祭る|matsuru|enshrine; worship|3|
坂|saka|slope; incline; hill|3|
皿|sara|plate; dish; bowl of scales; dish; course|3|
仕える|tsukaeru|serve; work for  smb.|3|
仕|tsukamatsuru|obs. polite  serve; do|3|
使う|tsukau|use; employ; keep (in one's employ); spend; consume; go in for; practise; have (meal; bath etc.)|3|
使い|tsukai|mission; errand; messenger; emissary|3|
始める|hajimeru|begin; start  smth.|3|
始め|hajime|beginning; start; origin|3|
始めて|hajimete|for the first time|3|
始まる|hajimaru|begin; start; arise; originate|3|
始まり|hajimari|beginning|3|
指|yubi|finger; toe|3|
指す|sasu|point to; indicate; move (in chess)|3|
指して を|sashite wo|toward...|3|
死|SHI|death|3|
死ぬ|shinu|die|3|
死する|SHISURU|die|3|
詩|SHI|poem; poetry; Chinese poem|3|
詩|uta|[Japanese]  poem|3|
歯|ha|tooth; teeth; cog; wooden blocks underneath geta clogs|3|
事|koto|abstract thing; matter; affair; fact; case; event; accident; substantivizer of  the preceeding  word or phrase; used in grammatic  constructions like|3|
事 なく|koto naku|smoothly|3|
事々しい|kotogotoshii|pompous; bombastic; pretentious; exaggerated|3|
事に よる と|kotoni yoru to|possibly; not improbably|3|
持つ|motsu|hold; carry; have with one; have; possess; hold; take charge of   smth.; bear (expenses); be supported; last long; wear|3|
持てる|moteru|potential form of; be popular; be welcomed; lit:  propertied; wealthy|3|
持たせる|motaseru|give; pass; let  smb. take; send  smth. by  smb.; make  smb. pay; keep; preserve|3|
持ち|mochi|wear; durability; life; one's charge (in expenses etc.)|3|
持|JI|draw (of  a go game)|3|
次ぐ|tsugu|come next|3|
次 の|tsugi no|next; following; coming|3|
次 に|tsugi ni|then; next; after; subsequently|3|
次々 と|tsugitsugi to|one by one; in turn|3|
式|SHIKI|math. formula; type; model; system; method; style; ceremony|3|
実|mi|fruit; essence; contents|3|
実る|minoru|ripen; bear fruit|3|
実|JITSU|reality; truth|3|
実 の|JITSU no|actual; true|3|
実 に|JITSU ni|truly; surely|3|
実 わ|JITSU wa|in fact; to say the truth|3|
実|makoto|truth; sincerity|3|
実|sane|fruit stone|3|
写す|utsusu|copy; transcribe; reproduce; take a picture; photograph; describe; depict; portray|3|
写し|utsushi|copy; transcript; duplicate; imitation|3|
写る|utsuru|be taken; come out (photo)|3|
写り|utsuri|quality of a picture|3|
者|mono|person; someone; the one who...|3|
主|nushi|master; owner|3|
主|aruji|master; landlord; husband|3|
主 な[る]|omo na[ru]|main; principal; foremost|3|
主に|omoni|mainly; chiefly; mostly|3|
主|SHU|master; one's lord; Lord|3|
主 たる|SHU taru|main; principal; chief|3|
主 と して|SHU to shite|mainly; chiefly|3|
取る|toru|take; pick up; get; acquire; obtain; receive; remove; get rid of  smth.; understand; grasp; interpret; numerous bound meanings|3|
取って|ni totte|to; for; in the case of|3|
取って|totte|to; for; in the case of|3|
取れる|toreru|come off; slip out of position; [can]  be obtained (earned; paid); be obtained (yielded; produced); be caught (as of fish or game); be taken off; be removed (as of pain etc.); potential form of|3|
守る|mamoru|protect; defend; guard; observe; obey; keep to; adhere to|3|
守り|mamori|protection; defense|3|
お守り|omamori|charm; amulet|3|
守|mori|baby  sitting; nursemaid|3|
守 する|mori suru|baby  sit|3|
守|kami|feudal governor; lord|3|
酒|sake|alcoholic drink|3|
お酒|osake|sake; alcoholic drink|3|
受ける|ukeru|accept; receive; get; inherit; undergo; be subjected to  smth.; catch; parry; find public acceptance; face; front on|3|
受け|uke|reception; popularity; compliance; receptacle; receiver; support; prop; holder|3|
受かる|ukaru|pass (examination etc.)|3|
州|SHUU|province (in former Japan); area; state; district|3|
州|SU|sandbar; shallows; shoal|3|
拾う|hirou|pick up; gather; find|3|
お拾い|ohiroi|on foot (2 nd or 3 rd person)|3|
拾|JUU|ten (used in legal documents and checks)|3|
終わる|owaru|end; finish; be over|3|
終わり|owari|end; conclusion; cessation|3|
終える|oeru|end; finish; complete|3|
終|tsui|obsolete:  the end|3|
終に|tsuini|at last; finally; never yet|3|
習う|narau|learn; study; practice|3|
習い|narai|habit; custom; practice|3|
習わし|narawashi|habit; custom; practice|3|
集める|atsumeru|collect; gather; assemble; concentrate; focus|3|
集まる|atsumaru|gather; meet; flock; be collected; focus; converge|3|
集まり|atsumari|meeting; assembly; collection|3|
集う|tsudou|lit:  get together; meet|3|
集い|tsudoi|lit:  meeting; get  together|3|
集る|takaru|gather; crowd; swarm; flock; swam with (insects etc.); scrounge; squeeze  smb. for  smth., sponge; cadge; shake down|3|
集り|takari|shakedown; racketeering; sponger; cadger; racketeer|3|
集く|sudaku|buzz; chirm (as of swarming insects)|3|
住む|sumu|live; reside; dwell; inhabit|3|
住まう|sumau|obsolete: live; reside; dwell; inhabit|3|
住まい|sumai|dwelling; residence; house|3|
住する|JUUSURU|lit:  live; reside|3|
重い|omoi|heavy; weighty; massive; serious; important; severe|3|
重な|omona|heavy; weighty; massive; serious; important; severe|3|
重たい|omotai|heavy; weighty; massive; serious; important; severe|3|
重んじる|omonjiru|esteem; respect; value|3|
重る|omoru|lit:  become heavy|3|
重り|omori|weight; plumb bob|3|
重き|omoki|weight; dignity|3|
重み|omomi|weight; importance|3|
重し|omoshi|stone weight on a pickle  tub lid|3|
重ねる|kasaneru|stack in layers; pile up; heap up; wear one garment over another; repeat; add; continue|3|
重ねて|kasanete|repeatedly; again|3|
重ね|kasane|pile; heap; layer; counter for suits and various sets|3|
重なる|kasanaru|lie on top of one another; stack in layers; pile up; come one after another (as of troubles etc.); fall on (a day)|3|
重々|JUUJUU|repeatedly; many times; extremely; very much|3|
重々しい|omoomoshii|serious; solemn|3|
重々しい|omo|serious; solemn|3|
重々しい|e|srious; solmn|3|
宿|yado|inn; lodging; shelter; refuge; dwelling; home; informal: [my]  hubby|3|
宿|SHUKU|obsolete:  relay station|3|
宿る|yadoru|stay overnight; take shelter; dwell; reside; lodge|3|
宿り|yadori|abode; lodging; shelter|3|
宿す|yadosu|give shelter; let stay; carry (virus etc.); conceive; be pregnant|3|
所|tokoro|place; function word with various meanings:; etc.|3|
所|toko|colloquial:; place; function word with various meanings:; etc.|3|
所々|tokorodokoro|here and there; at places|3|
所が|tokoroga|however; but|3|
所で|tokorode|now; incidentally; by the way; conj. even if; even though|3|
暑い|atsui|hot; sultry|3|
暑さ|atsusa|summer heat; hot weather|3|
暑|SHO|summer heat in idioms:|3|
暑がる|atsugaru|be sensitive to heat|3|
暑がり|atsugari|sensitivity to heat; person sensitive to heat|3|
助ける|tasukeru|save; rescue; help; aid|3|
助かる|tasukaru|be rescued; be saved; be spared; be relieved; be helpful|3|
助|suke|informal:  helping; slang  broad; chick|3|
助ける|sukeru|informal:  help; aid|3|
勝つ|katsu|win; gain a victory; defeat; surpass|3|
勝ち|kachi|victory; win|3|
勝る|masaru|surpass; excel|3|
勝れる|sugureru|surpass; be excellent|3|
勝れて|sugurete|exceedingly|3|
勝れた|sugureta|superior; superb; excellent|3|
勝|SHOU|place of natural beauty in idioms:|3|
商う|akinau|sell; deal in; handle|3|
商い|akinai|trade; commerce; business|3|
商|SHOU|trade in idioms:; math. quotient; Shang dynasty|3|
消す|kesu|extinguish; put out (fire); switch off (light; radio etc.); erase; rub out; strike out; neutralize; counteract; kill; rub out; math. cancel (a fraction etc.)|3|
消える|kieru|be extinguished; die out; melt away; thaw; disappear; vanish|3|
章|SHOU|chapter; badge; emblem|3|
乗る|noru|board; get on; take (a train etc.); ride; travel; step on; get on; mount; be put; be set; be placed; appear in print; be published; join; participate; be deceived; be taken in; be in harmony|3|
乗せる|noseru|take on board; carry (passengers); put; lay; set; place; put in print; publish; let  smb. participate; entrap; ensnare; deceive; bring into harmony|3|
乗じる|JOUJIRU|math. multiply; take advantage of  smth.|3|
植える|ueru|plant; grow; raise; typeset|3|
植わる|uwaru|be planted|3|
深い|fukai|deep; inmost; profound; intense; thick; dense; heavy; close; intimate; late (in the season)|3|
深み|fukami|depth; deep place|3|
深まる|fukamaru|deepen; become deeper|3|
深める|fukameru|deepen; intensify|3|
深々 と|fukabuka to|very deeply|3|
深々|SHINSHIN|penetratingly; bitingly (cold); thick and fast (falling snow); bound  well after (midnight)|3|
申す|mousu|humble  say; be named; [have the honor to]  do|3|
申|saru|the Monkey (9 th sign of Chinese Zodiac); arch:  west  southwest; arch:  pm  pm|3|
真|SHIN|lit:  truth; reality; genuineness|3|
真 の|SHIN no|true; real; genuine; veritable|3|
真 に|SHIN ni|truly; really; indeed|3|
真|makoto|truth; reality|3|
真ける|mani ukeru|take seriously; believe|3|
真ける|ma|take seriously; believe|3|
神|kami|Shinto deity; god (in the broad sense)|3|
神々|kamigami|deities; gods|3|
神々しい|kougoushii|divine; heavenly|3|
神さびた|kamisabita|hallowed|3|
神|SHIN|spirit; mind; divine power|3|
身|mi|one's body; oneself; figurative:  nd; soul; heart; one's status; station in life; life; meat; blade (of a sword)|3|
進む|susumu|go forward; advance; make progress; be promoted; gain (as of a clock); feel like doing  smth.|3|
進み|susumi|progress|3|
進める|susumeru|move forward; promote; hasten|3|
進じる|SHINJIRU|present; offer|3|
世|yo|world; society; public; life; age; era; times; generation; reign|3|
整える|totonoeru|put in order; tidy up; arrange; regulate; adjust|3|
整う|totonou|be in order; be regulated; be adjusted|3|
昔|mukashi|old (ancient) times; antiquity; former years; old days|3|
昔 わ|mukashi wa|in old times|3|
昔 の|mukashi no|ancient; old; past; former; bygone|3|
昔 から|mukashi kara|from old times|3|
昔々|mukashimukashi|long time ago; once upon a time|3|
全て|subete|all; everything; entirely; wholly; generally  [speaking]|3|
全て の|subete no|all; every|3|
全く|mattaku|completely; entirely; utterly; truly; indeed|3|
全うする|mattousuru|accomplish; fulfill|3|
全き|mattaki|perfect; complete|3|
想う|omou|think|3|
想|SOU|thought; idea in idioms:|3|
