Japanese|Romaji|English|Utility|Type
連続|renzoku|continuity; succession; series; continuously; without a break|3|
連続 する|renzoku suru|continue; last; in compounds  continuous|3|
悪心|akushin|evil intention; sinister motive; malevolence; |4|
悪心 ある|akushin aru|evil  minded; malicious  109021_|4|
一段|ichidan|a step; a stage; a rung; a paragraph|4|
一段 と|ichidan to|much more; still more; all the more   104137_|4|
一切|issai|all; everything; the whole; with neg. nothing; entirely; wholly; altogether; absolutely|4|
一切 の|issai no|all; entire; whole; |4|
一切 で|issai de|in total|4|
怪異 な|kaii na|strange; mysterious; marvelous; grotesque|4|
下部|kabu|lower part; substructure  130648_|4|
肝木|kanboku|bot. snowball tree; guelder rose; = Viburnum opulus|4|
気付け|kitsuke|refreshment; pick  me  up; eye opener; bringing  smb. back to life   118473_|4|
気味|kimi|feeling; sensation; impression; mood; touch; dash; shade; tinge|4|
施行|shikou|enforcement; execution; |4|
施行 する|shikou suru|enforce; execute; carry out; put into operation; *=55 come into force; become operative; take effect  137935_|4|
清水|shimizu|spring (clear; fresh) water  437403_|4|
出場|shutsujou|appearance (on stage); participation; entry; |4|
出場 する|shutsujou suru|participate; enter (for an event) 146696_|4|
承認|shounin|approval; consent; admission; recognition; |4|
承認 する|shounin suru|approve; endorse; consent; agree; admit; recognize; acknowledge|4|
身上|shinshou|col.; fortune; property; household|4|
人体|jintai|human body  152458_|4|
水兵|suihei|[naval]  sailor|4|
切羽|seppa|seppa (spacers on either side of a sword guard) 118000_|4|
前後|zengo|front and back; before and behind; before and after; order; sequence; suf. about; nearly; some|4|
前後 の|zengo no|longitudal|4|
前後 して|zengo shite|about that time; almost simultaneously; one after another|4|
前後 する|zengo suru|get out of order; get mixed up|4|
前方|zenpou|the front; |4|
前方 の|zenpou no|front; |4|
前方 に|zenpou ni|,*=71 in front; forward; ahead|4|
退場|taijou|leaving; departure; walkout; |4|
退場 する|taijou suru|leave; quit; go away; walk out|4|
立ち上がり|tachiagari|start; starting; getting to one's feet; standing up|4|
訂正|teisei|correction; revision; |4|
訂正 する|teisei suru|correct; revise; rectify|4|
展示|tenji|exhibition; display; |4|
展示 する|tenji suru|put on display; exhibit|4|
人参|ninjin|carrot; ginseng|4|
明朝|minchou|Ming dynasty (China; 1368-1644) 167663_|4|
目処|medo|aim; goal; prospect; outlook|4|
沃度|youdo|chem. iodine|4|
アアカイバア|aakaibaa|comp. archiver|10|
アアカイブ|aakaibu|comp. archive (of files)|10|
アアガイル|aagairu|argyle  [pattern]|10|
アアカンソウ州|aakansoushuu|>>  [State of]  Arkansas|10|
アアキテクチャア|aakitekuchaa|architecture (in various meanings)|10|
アアク|aaku|arc; electric arc|10|
アアク灯|aakutou|elec. arc light|10|
アアケエド|aakeedo|archit. arcade; series of adjoining arches|10|
アアケエドゲエム|aakeedogeemu|arcade game|10|
アアシング|aashingu|elec. earthing|10|
アアス|aasu|elec., radio  ground; earth; |10|
アアス する|aasu suru|ground; *=56 be grounded|10|
アアスカラア|aasukaraa|earth color; |10|
アアスカラア の|aasukaraa no|earth  colored|10|
アアスデエ|aasudee|Earth Day (April 22)|10|
アアチ|aachi|arch|10|
アアチェリイ|aacherii|archery|10|
アアチクル|aatikuru|article|10|
アアチスチック な|aatisutikku na|artistic|10|
アアチスト|aachisuto|artist|10|
アアチダム|aachidamu|arch [ed]  dam|10|
アアチフィシャル な|aatifisharu na|artificial|10|
アアチフィシャルインテリジェンス|aatifisharuinterijensu|artificial intelligence|10|
アアト|aato|art|10|
アアト紙|aatoshi|art paper; high  quality coated paper|10|
アアトヂレクタア|aatodirekutaa|art director|10|
アアバン の|aaban no|urban|10|
アアバンデザイン|aabandezain|urban design|10|
アアバンライフ|aabanraifu|urban life|10|
アアベント|aabento|[musical etc.]  evening (Germ. Abend)|10|
アアミイ|aamii|army|10|
アアミイルック|aamiirukku|army look|10|
アアム|aamu|arm (in various meanings)|10|
アアムガアド|aamugaado|arm guard (in archery etc.)|10|
アアムチェア|aamuchea|armchair|10|
アアムバンド|aamubando|armband|10|
アアムホウル|aamuhouru|armhole (in European clothing)|10|
アアムレスト|aamuresuto|armrest|10|
アアムレット|aamuretto|armlet; brassard|10|
アアメン|aamen|rel. Amen!|10|
アアモンド|aamondo|almond; = Prunus dulcis|10|
アアリイアメリカン な|aariiamerikan na|Early American|10|
アアル|aaru|an are; 100  square meters (unit of area; Fr. are); R (letter)|10|
アアルデコ|aarudeko|arts  art deco (Fr. art déco)|10|
アアルヌウボウ|aarunuubou|arts  art nouveau|10|
藍|ai|bot. Chinese indigo; = Persicaria tinctoria; indigo (dye or color)|10|
相合傘 で|aiaigasa de|under one umbrella; sharing an umbrella|10|
アイアン|aian|golf  iron  [club]|10|
愛育|aiiku|tender nurture; |10|
愛育 する|aiiku suru|bring up with tender care|10|
相容れない と|aiirenai to|be contradictory to  smth., be incompatible with  smth.|10|
藍色|aiiro|indigo blue|10|
愛飲 する|aiin suru|be fond of drinking  smth., drink  smth. regularly|10|
合印|aiin|verification seal; check mark  100144_|10|
相撃ち|aiuchi|striking in the same time (either each other or the enemy by two allies)|10|
愛液|aieki|physiol. vaginal secretions; sexual fluids|10|
愛煙家|aienka|habitual smoker|10|
相生い|aioi|growing from the same root|10|
アイオワ州|aiowashuu|>>  [State of]  Iowa|10|
哀音|aion|lit. sad sounds|10|
哀歌|aika|poet. elegy; dirge; sad song; Bibl. Book of Lamentations|10|
合鍵|aikagi|duplicate key; passkey|10|
合い方|aikata|accompaniment (esp. in Japanese theater)|10|
相変わらず|aikawarazu|as usual; as always; as before|10|
哀感|aikan|lit. sad feeling|10|
哀歓|aikan|sadness and joy|10|
哀願 する|aigan suru|implore; entreat; supplicate|10|
愛玩 する|aigan suru|pet (a dog; etc.)|10|
愛輝|aiki|>> Aihui (city in North  Eastern China; now a part of Heihe city)|10|
間着|aigi|spring and autumn wear|10|
合着|aigi|spring and autumn wear|10|
合気会|aikikai|Aikikai  [Foundation](aikido organization)|10|
合気道|aikidou|aikido|10|
合気道家|aikidouka|aikido practitioner|10|
愛敬|aikyou|charms; attractiveness; courtesy; |10|
愛敬 の ある|aikyou no aru|charming; attractive|10|
愛楽|aigyou|Buddh. supplication (of acquiring supreme knowledge); loving; attachment|10|
間狂言|aikyougen|comic interlude (in Noh theater)|10|
愛郷(心)|aikyoushin|love of one's hometown|10|
愛吟|aigin|lit.; one's favorite poems|10|
愛吟 する|aigin suru|love to recite|10|
合い薬|aigusuri|inf. specific remedy|10|
合口|aikuchi|common ground; pleasant conversation; good company|10|
愛犬|aiken|one's pet dog|10|
愛犬家|aikenka|lover of dogs; dog fancier|10|
愛顧|aiko|favor; patronage|10|
愛護|aigo|protection; kind treatment; tender care (of animals etc.); |10|
愛護 する|aigo suru|protect; treat kindly|10|
愛好|aikou|love of  smth., fondness; |10|
愛好 する|aikou suru|love; be fond of  smth., have a taste for  smth.|10|
哀号|aigou|moan; wailing|10|
愛好者|aikousha|lover of  smth., fancier; devotee; fan; enthusiast|10|
愛国|aikoku|patriotism|10|
愛国者|aikokusha|patriot|10|
愛国主義|aikokushugi|patriotism|10|
愛国心|aikokushin|patriotism; patriotic feeling|10|
合言葉|aikotoba|password; slogan; motto|10|
アイコン|aikon|comp. icon|10|
愛妻|aisai|beloved wife|10|
挨拶状|aisatsujou|letter of greeting; greeting card|10|
挨拶回り|aisatsumawari|[New Year]  courtesy calls|10|
哀史|aishi|eleg. sad story; tragic history|10|
哀詞|aishi|message of condolence|10|
哀詩|aishi|sad poem; elegy|10|
愛児|aiji|one's beloved child|10|
アイシェエド|aisheedo|eyeshade|10|
愛車|aisha|beloved car|10|
アイシャドウ|aishadou|eye shadow|10|
哀愁|aishuu|sadness; pathos; grief; sorrow|10|
愛書|aisho|love to reading|10|
哀傷|aishou|lit. sorrow; grief|10|
愛唱 する|aishou suru|love to sing|10|
愛称|aishou|pet name|10|
相性|aishou|compatibility; affinity|10|
哀情|aijou|lit. sadness|10|
愛嬢|aijou|beloved daughter|10|
愛唱歌|aishouka|one's favorite song|10|
愛唱曲|aishoukyoku|favorite tune|10|
合印|aijirushi|distinguishing (fellowship) mark; matchmark; tally mark|10|
愛人|aijin|lover|10|
アイシング|aishingu|cul. icing; frosting; ice hockey  icing; med. icing; applying ice|10|
アイス|aisu|ice; in compounds  ice -, icy|10|
会津|aizu|>> Aizu (Western province of Fukushima prefecture)|10|
アイスキュウブ|aisukyuubu|ice cube|10|
(アイス)クリイムサンデエ|aisukuriimusandee|ice  cream sundae|10|
(アイス)クリイムソウダ|aisukuriimusouda|ice  cream soda; float|10|
アイススケエト|aisusukeeto|ice skating|10|
アイスチイ|aisutii|ice tea|10|
アイストング|aisutongu|ice tongs|10|
アイスハアケン|aisuhaaken|alp. ice piton (Germ. Eishaken)|10|
アイスバアン|aisubaan|icy surface (road; slope)(Germ. Eisbahn)|10|
アイスピック|aisupikku|ice pick|10|
アイスペエル|aisupeeru|ice pail|10|
アイスボックス|aisubokkusu|icebox; ice chest|10|
アイスホッケエ|aisuhokkee|ice hockey|10|
アイスランド|aisurando|>> Iceland; |10|
アイスランド の|aisurando no|Icelandic|10|
アイスランド語|aisurandogo|Icelandic  [language]|10|
アイスランド人|aisurandojin|Icelander|10|
アイスリンク|aisurinku|ice rink|10|
哀惜|aiseki|lit. grief; sorrow; lamentation; |10|
哀惜 する|aiseki suru|grieve; lament|10|
愛惜 する|aiseki suru|lit. be loath  [to part], be reluctant  [to separate]|10|
相席 する|aiseki suru|share a table with a stranger (at a restaurant etc.)|10|
哀切 な|aisetsu na|pathetic; plaintive; mournful|10|
アイゼン|aizen|climbing irons (Germ. Steigeisen)|10|
愛染(明王)|aizenmyouou|Buddh. Ragaraja; deity of love (one of the protecting deities; Sanskr. Rāgarāja)|10|
哀訴|aiso|lit. appeal; entreaty; complaint; |10|
哀訴 する|aiso suru|appeal; implore; entreat; complain|10|
愛想|aiso;aisou|civility; courtesy; affability; sociability; compliments; civilities; |10|
愛想 の ない|aiso;aisou no nai|unaffable; unsociable; unfriendly; blunt; curt|10|
愛憎|aizou|love and hatred; |10|
愛憎 なく|aizou naku|impartially; |10|
愛憎 が ある|aizou ga aru|be partial|10|
愛蔵 する|aizou suru|treasure; cherish; |10|
愛蔵 の|aizou no|treasured; cherished|10|
愛蔵版|aizouban|deluxe edition|10|
愛憎併存|aizouheison|ambivalence; love and hatred together|10|
愛息|aisoku|one's beloved son|10|
アイソトウプ|aisotoupu|phys. isotope|10|
アイソトニック な|aisotonikku na|isotonic|10|
愛想のいい|aisonoii|affable; amiable; sociable; agreeable|10|
アイソメトリックス|aisometorikkusu|isometrics; isometric exercise|10|
アイソレエション|aisoreeshon|isolation|10|
アイソレエタア|aisoreetaa|isolator (in various meanings)|10|
相対 する|aitai suru|face each other; confront|10|
相対 で|aitai de|between themselves; tete  a  tete; by mutual consent   139757_|10|
相対死に|aitaijini|arch. double suicide (legal term during Edo period)|10|
相対売買|aitaibaibai|com. negotiated transaction|10|
相対尽 で|aitaiduku de|by mutual consent|10|
間柄|aidagara|relation [s], relationship; terms; footing|10|
愛他(主義)|aitashugi|lit. altruism; *=32 altruistic|10|
アイダホ州|aidahoshuu|>>  [State of]  Idaho|10|
愛知|aichi|>> Aichi  [prefecture]|10|
アイヂア|aidia|idea|10|
アイヂアマン|aidiaman|person full of ideas (literally  )|10|
アイヂアリスト|aidiarisuto|idealist|10|
アイヂアリズム|aidiarizumu|idealism|10|
アイヂアル な|aidiaru na|ideal|10|
愛知県|aichiken|>> Aichi prefecture (capital city — Nagoya)|10|
愛着|aichaku;aijaku|attachment; fondness|10|
哀弔|aichou|rare  sympathetic condolences|10|
哀調|aichou|plaintive strains (melody; tune)|10|
愛鳥|aichou|one's pet bird|10|
彼奴|aitsu;kyatsu|rude  he; that guy; she|10|
相次いで|aitsuide|one after the other|10|
哀痛|aitsuu|lit. sorrow; mental anguish|10|
相次ぐ|aitsugu|come one after another; follow in succession|10|
相手方|aitekata|opponent; the other party|10|
アイテム|aitemu|item|10|
アイデンチチイ|aidentitii|[one's]  identity|10|
アイデンチチイカアド|aidentitiikaado|identity card|10|
アイデンチファイ する|aidentifai suru|identify|10|
アイデンチフィケエション|aidentifikeeshon|identification|10|
哀悼|aitou|lament; mourning; condolence|10|
愛読 する|aidoku suru|read  smth. with pleasure; be fond of  [reading] smth.|10|
愛読者|aidokusha|[regular]  reader; subscriber|10|
愛読書|aidokusho|one's favorite book (reading; author)|10|
アイドリング|aidoringu|auto  idling|10|
アイドル|aidoru|idol; in compounds  idle|10|
アイドルキャピタル|aidorukyapitaru|econ. idle capital|10|
アイドルコスト|aidorukosuto|econ. idle  [time]  cost|10|
愛に飢える|ainiueru|starve for love; hanker after love|10|
生憎|ainiku|unfortunately; unluckily; I am sorry _ but....|10|
アイヌ|ainu|Ainu|10|
アイヌ語|ainugo|Ainu  [language]|10|
アイヌ族|ainuzoku|Ainu race|10|
愛の結晶|ainokesshou|fruit of love (as of children)|10|
間の子|ainoko|vulg. half blood; half  breed; hybrid|10|
合の子|ainoko|vulg. half blood; half  breed; hybrid|10|
合の手|ainote|music  interlude (esp. of shamisen music between two traditional Japanese songs); call thrown in to enliven a song; few words added to a conversation|10|
相乗り|ainori|inf. riding together (in the same car; on the same horse etc.; also fig.); |10|
相乗り する|ainori suru|ride together|10|
愛馬|aiba|one's favorite horse|10|
合判|aihan|joint seal (of two or more persons)    100248_|10|
相反 する|aihan suru|be contrary  [to each other], conflict; |10|
相反 に|aihan ni|disagree with  smth., run counter to  smth. 139853_|10|
合判|aiban|medium size (5 x7  inches for paper; 10 x13  cm for photographs; 23 x33  cm for ukiyoe prints)  100244_|10|
合番|aiban|constr. compulsory presence of allied workers (carpenters during concreting; electricians during excavation etc.)|10|
アイバンク|aibanku|med. eye bank|10|
アイビイスタイル|aibiisutairu|Ivy  [League]  style|10|
アイビイリイグ|aibiiriigu|the Ivy League|10|
アイビイルック|aibiirukku|Ivy look (style)|10|
相等しい|aihitoshii|equal to each other|10|
愛猫|aibyou|one's pet cat|10|
愛猫家|aibyouka|cat lover|10|
間服|aifuku|spring and autumn wear|10|
合服|aifuku|spring and autumn wear|10|
合い札|aifuda|check; tally|10|
アイブロウ|aiburou|eyebrow|10|
アイブロウペンシル|aiburoupenshiru|eyebrow pencil|10|
哀別|aibetsu|eleg. sad parting|10|
愛別離苦|aibetsuriku|Buddh. separation from those we love (one of the eight sufferings)|10|
哀慕 する|aibo suru|lit. cherish the memory of  smb.|10|
愛慕|aibo|attachment; love; adoration; |10|
愛慕 する|aibo suru|be attached to  smb., love|10|
相棒|aibou|partner; pal; mate; accomplice|10|
アイホウル|aihouru|eyehole; orbit|10|
アイボリイ|aiborii|ivory; ivory color|10|
アイボリイホワイト の|aiboriihowaito no|ivory white|10|
合間|aima|interval; spare moment|10|
曖昧 な|aimai na|vague; indistinct; obscure; ambiguous|10|
曖昧屋|aimaiya|vulg. house of questionable character; brothel|10|
相見積り|aimitsumori|competitive estimations (quotations)|10|
アイメエト|aimeeto|guide dog (literally  )|10|
愛用|aiyou|habitual use of  smth.; |10|
愛用 する|aiyou suru|use habitually; |10|
愛用 の|aiyou no|one's favorite (as of a thing)|10|
愛欲|aiyoku|sexual desire; love and lust; passion|10|
アイライナア|airainaa|eyeliner  [pencil]|10|
アイライナアブラシ|airainaaburashi|eyeliner brush|10|
アイライン|airain|eye line (contour)|10|
哀楽|airaku|lit. grief and pleasure|10|
愛らしい|airashii|lovely; cute; sweet|10|
アイラッシュカアラア|airasshukaaraa|eyelash curler|10|
アイリス|airisu|photo  iris  [diaphragm]; bot. iris|10|
アイルランド|airurando|>> Ireland; |10|
アイルランド の|airurando no|Irish|10|
アイルランド語|airurandogo|Irish  [language]|10|
アイルランド人|airurandojin|Irishman; Irishwoman|10|
アイロニイ|aironii|irony|10|
アイロニカル な|aironikaru na|ironical|10|
哀話|aiwa|sad story|10|
アインスタイニウム|ainsutainiumu|chem. einsteinium; = Es|10|
会津塗|aidunuri|Aizu lacquer ware|10|
会津藩|aiduhan|Aizu clan|10|
遇う|au|meet with  smth., encounter; experience|10|
アウシュビッツ|aushubittsu|>> Auschwitz (concentration camp)|10|
アウストラロピテクス|ausutoraropitekusu|anthrop. Australopithecus|10|
アウタア|autaa|in katakana compounds  outer|10|
アウタアウエア|autaauea|outerwear|10|
アウタアスペエス|autaasupeesu|outer space|10|
アウタルキイ|autarukii|autarchy (Germ. Autarkie)|10|
アウト|auto|sports  out; golf  front nine; first nine holes|10|
アウト で ある|auto de aru|be out; |10|
アウト に なる|auto ni naru|be put out; |10|
アウト に する|auto ni suru|put out|10|
アウトウェア|autowea|outer garment (literally  )|10|
アウトオブデエト な|autoobudeeto na|out  of  date; outdated|10|
アウトオブバウンズ|autoobubaunzu|sports  out  of  bounds|10|
アウトオブファッション の|autoobufasshon no|out of fashion|10|
アウトカウント|autokaunto|baseball  out count; number of batters already out|10|
アウトコウス|autokousu|baseball  outside  [of the plate](literally  ); outside lane (in a stadium etc.)|10|
アウトコウナア|autokounaa|baseball  home plate side farthest from the batter (literally  out corner)|10|
アウトサイダア|autosaidaa|outsider|10|
アウトサイド|autosaido|outside|10|
アウトドア の|autodoa no|outdoor|10|
アウトドアライフ|autodoaraifu|outdoor life|10|
アウトドライブ する|autodoraibu suru|golf  outdrive|10|
アウトバアン|autobaan|highway (Germ. Autobahn)|10|
アウトバック|autobakku|outback (arid interior of Australia)|10|
アウトフィイルド|autofiirudo|baseball  outfield|10|
アウトプット|autoputto|elec., comp. output; |10|
アウトプット する|autoputto suru|output|10|
アウトボクシング|autobokushingu|boxing  outfighting; boxing from a distance (literally  )|10|
アウトポケット|autopoketto|patch pocket (literally  )|10|
アウトライト取引|autoraitotorihiki|outright transaction|10|
アウトライン|autorain|outline; rough idea of  smth.|10|
アウトレット|autoretto|tech. outlet|10|
アウトレットストア|autorettosutoa|outlet store (mall; center)|10|
アウトロウ|autorou|outlaw|10|
会うは別れの始め|auhawakarenohajime|prov. we meet only to part|10|
会う人毎に|auhitogotoni|to every person  [one meets]|10|
アウフヘエベン|aufuheeben|philos. sublation (concept in Hegel's dialectics; Germ. Aufheben)|10|
アウラ|aura|(Lat. aura)|10|
アウロラ|aurora|myth. Aurora|10|
敢えて|aete|boldly; daringly|10|
敢えない|aenai|sad; tragic; transitory; ephemeral; frail; feeble|10|
敢えない最期を遂げる|aenaisaigowotogeru|die a tragic death|10|
和え物|aemono|vegetable salad dressed with  smth.(miso; sesame; vinegar etc.)|10|
和える|aeru|dress (salad or fish with vinegar etc.)|10|
亜鉛|aen|zinc|10|
亜鉛華|aenka|chem. flowers of zinc; zinc oxide|10|
亜塩素酸|aensosan|chem. chlorous acid|10|
亜塩素酸塩|aensosan'en|chem. chlorite|10|
亜鉛凸版|aentoppan|[photo] zincography; anastatic printing; anastatic plate; anastatic print; photozincograph; |10|
亜鉛凸版 に する|aentoppan ni suru|photozincograph|10|
亜鉛板|aenban|zinc sheet (plate)|10|
亜鉛版|aenban|zincography; zincograph; zincotype; |10|
亜鉛版 に する|aenban ni suru|etch on zinc|10|
亜鉛引き の|aenbiki no|galvanized; zinced; coated with zinc|10|
亜鉛末|aenmatsu|zinc dust|10|
青々 した|aoao shita|verdant; fresh and green|10|
青嵐|aoarashi|lit. wind blowing through verdure; mountain air|10|
青色|aoiro|blue; green|10|
青魚|aouo|black carp; black Chinese roach; = Mylopharyngodon piceus|10|
青浮草|aoukikusa|bot. lesser duckweed; three  nerved duckweed; = Lemna aequinoctialis|10|
青海原|aounabara|poet. blue sea|10|
青海亀|aoumigame|green  [sea]  turtle; = Chelonia mydas|10|
青懸巣|aokakesu|blue jay; = Cyanocitta cristata|10|
青木|aoki|green tree; bot. gold dust plant; Japanese (spotted) laurel; = Aucuba japonica|10|
仰ぎ奉る|aogitatematsuru|look up  [reverently]|10|
扇ぎ立てる|aogitateru|instigate; abet|10|
仰ぎ見る|aogimiru|look up at  smth.; look up to  smb.[with respect]|10|
仰ぐ|aogu|look up; face upward; respect; revere; depend on; ask for|10|
扇ぐ|aogu|fan; use a fan; instigate; abet; incite|10|
青草|aokusa|green grass|10|
青臭い|aokusai|vulg. smelling of grass  or  unripe fruit; fig. inexperienced; immature|10|
青黒|aoguro|bluish blackness|10|
青黒い|aoguroi|bluish black; fig. sickly pale; unhealthy  looking|10|
青毛 の|aoge no|black (as of a horse)|10|
青魚|aozakana|blue  skinned fish (sardine; mackerel; herring etc.) 100381_|10|
青差し|aozashi|bundle of coins on a blue cord|10|
青ざめる|aozameru|turn pale|10|
青汁|aojiru|aojiru; (Japanese green vegetable drink)|10|
青白い|aojiroi|pale; pallid; wan; waxy|10|
青信号|aoshingou|green light (traffic signal)|10|
青筋|aosuji|[blue]  veins (esp. at one's temples)|10|
青図(面)|aozumen|blueprint; cyanotype copy|10|
青空|aozora|blue sky; in compounds  open  air|10|
青空市場|aozoraichiba|open  air market|10|
青大将|aodaishou|zool. Japanese rat snake; = Elaphe climacophora|10|
青田買い|aotagai|buying  [rice]  before the harvest; fig. recruiting (of students etc.) before the officially set date|10|
青畳|aodatami|new tatami mat|10|
青天井|aotenjou|blue sky; blue vault of heaven; |10|
青天井 で|aotenjou de|in the open air; outdoors|10|
青天井予算|aotenjouyosan|limitless budget|10|
青菜|aona|greens; leafy green vegetables|10|
青二才|aonisai|vulg. immature youth; greenhorn|10|
青葉|aoba|green leaves; fresh verdure|10|
青膨れ|aobukure|dropsical swelling; |10|
青膨れ な|aobukure na|puffy|10|
青む|aomu|turn green|10|
仰向く|aomuku|look up|10|
仰向け に|aomuke ni|on one's back; face up; |10|
仰向け に なる|aomuke ni naru|turn over on one's back; |10|
仰向け に する|aomuke ni suru|turn  smth. face up|10|
青虫|aomushi|[green]  caterpillar|10|
青物|aomono|greens; [green]  vegetables|10|
青森|aomori|Aomori (city or prefecture)|10|
青森県|aomoriken|>> Aomori prefecture (the northern end of Honshu; capital city — Aomori)|10|
青柳|aoyagi|eleg. green willow; shucked trough shell|10|
亜温帯|aontai|subtemperate zone|10|
亜科|aka|biol. subfamily|10|
赤々 たる|akaaka taru|bright red|10|
明々 と|akaaka to|brightly|10|
紅い|akai|red|10|
赤家蚊|akaieka|ent. common house mosquito; = Culex pipiens|10|
赤石山脈|akaishisanmyaku|>> Akaishi mountain range (in central Honshu), Southern Alps of Japan|10|
アカウンタビリチイ|akauntabiritii|accountability|10|
アカウンチング|akauntingu|comp. accounting|10|
アカウント|akaunto|fin. account; account; client [s]; comp.[user]  account|10|
赤エイ|akaei|red stingray; = Dasyatis akajei|10|
赤貝|akagai|blood clam; = Anadara broughtonii|10|
赤金|akagane|obs. copper|10|
銅|akagane|obs. copper|10|
赤狩り|akakari|hist. communist  hunting (in McCarthyist America etc.)|10|
赤木|akagi|barked log [s]; bot. bishop wood; = Bischofia javanica; redwood (common name for various trees)|10|
赤毛|akage|red (ginger) hair; |10|
赤毛 の|akage no|red  haired; red  headed|10|
褐毛和種|akagewashu|Japanese brown (cow breed)|10|
[赤]鳥赤腹|akakokko|Izu  [islands]  thrush; = Turdus celaenops|10|
証|akashi|proof; evidence; vindication|10|
灯[し]|akashi|eleg. 056856_|10|
赤字|akaji|red characters (letters; digits; text); deficit; loss|10|
アカシア|akashia|bot. acacia; = Acacia|10|
赤潮|akashio|red tide; algal bloom|10|
赤鹿|akashika|red deer; = Cervus elaphus|10|
赤字国債|akajikokusai|deficit  covering government bond|10|
証す|akasu|prove; leave no doubts|10|
飽かす|akasu|satiate; surfeit; tire; weary|10|
明かす|akasu|stay up all night (doing smth.); reveal; disclose; divulge; confide|10|
飽かず|akazu|insatiably; without getting bored|10|
赤頭巾|akazukin|Little Red Riding Hood|10|
赤線|akasen|red line; hist. red  light district (after WW2  these districts were marked by red lines until the abolition of prostitution in 1956)|10|
赤チン|akachin|pharm. mercurochrome|10|
暁|akatsuki|dawn; daybreak|10|
暁には|akatsukinihha|if; when; in the event of|10|
赤土|akatsuchi|red soil|10|
赤面|akatsura;akazura|derog. red face; villain in red makeup (in Kabuki theater)   137926_|10|
アカデミイ|akademii|academy|10|
アカデミシャン|akademishan|academician; academy member|10|
アカデミズム|akademizumu|academism|10|
アカデミック な|akademikku na|academic; scholarly|10|
赤電話|akadenwa|public telephone (literally  red telephone)|10|
購う|aganau|purchase|10|
赤恥|akahaji|shame; humiliation|10|
赤裸 の|akahadaka no|stark naked|10|
赤ばむ|akabamu|redden; become red|10|
赤腹井守|akaharaimori|Japanese fire belly newt; = Cynops pyrrhogaster|10|
赤札|akafuda|red tag (on clearance or sold goods); clearance  or  sold goods|10|
アガペエ|agapee|Christ.[divine]  love (ancient Greek  agape)|10|
アカペラ|akapera|music  a capella; without instrumental accompaniment|10|
赤帽|akabou|porter; redcap|10|
赤坊鯨|akaboukujira|Cuvier's beaked whale; = Ziphius cavirostris|10|
赤猿子|akamashiko|common rosefinch (bird),= Carpodacus erythrinus|10|
赤味|akami|redness; tinge of red|10|
赤味がかった|akamigakatta|reddish|10|
赤紫(色)|akamurasakiiro|purplish red|10|
崇める|agameru|revere; venerate; worship|10|
赤矢地黄|akayajiou|bot. rehmannia; Chinese foxglove; = Rehmannia glutinosa|10|
赤ら顔|akaragao|ruddy face; |10|
赤ら顔 の|akaragao no|ruddy  faced; florid|10|
赤らむ|akaramu|turn red; blush|10|
明らむ|akaramu|brighten (as of the sky)|10|
赤らめる|akarameru|blush|10|
上がり|agari|rise; advance; ascent; income; proceeds; yield; completion; finish; death (of fish; reptiles; insects or plants); freshly brewed tea|10|
上がり降り|agariori|ascent and descent|10|
上がり口|agarikuchi;agariguchi|entrance; front door|10|
上がり込む|agarikomu|step in; enter (esp. uninvited)|10|
上がり下がり|agarisagari|rise and fall; fluctuation|10|
明かり障子|akarishouji|translucent paper screen|10|
上がり高|agaridaka|proceeds; revenue; income; returns; receipts; crop; yield|10|
上がり段|agaridan|staircase; doorsteps; footboard (of a streetcar)|10|
明かり取り|akaritori|skylight; transom  400577_|10|
上がり場|agariba|landing place; dressing room (in baths)|10|
上がり目|agarime|inward  slanting eyes; almond eyes; rising tendency (on market); rising fortune; lucky turn|10|
上がり物|agarimono|food (politely about other people); offering; oblation; yield; crop; harvest; waste|10|
上がり湯|agariyu|hot water used outside the bathtub|10|
挙がる|agaru|be mentioned; be cited; be arrested; be nabbed; be recovered; become evidence; become famous|10|
揚がる|agaru|rise high; be up; fly; be fried in deep fat; get into high spirits|10|
明るい政治|akaruiseiji|clean politics|10|
明るみ に (で)|akarumi ni (de)|in the light|10|
亜寒帯|akantai|subarctic zone; |10|
亜寒帯 の|akantai no|subarctic; subpolar|10|
飽き飽き する|akiaki suru|be sick of  smth.|10|
秋風|akikaze|autumn breeze|10|
空き缶|akikan|empty can|10|
秋口|akiguchi|early autumn|10|
秋雨|akisame|autumnal rain|10|
空巣|akisu|empty nest; fig. empty house|10|
空き巣狙い|akisunerai|sneak thief; prowler; sneak  thieving|10|
秋田|akita|Akita (city or prefecture)|10|
秋田犬|akitainu|Akita (Japanese breed of dog)|10|
秋田県|akitaken|>> Akita prefecture (in Tohoku region; capital city — Akita)|10|
飽き足る|akitaru|be satisfactory; be good enough (usually in negative form)|10|
空き地|akichi|vacant land; unoccupied ground|10|
飽きっぽい|akippoi|fickle; capricious; easily satiated|10|
顎[門]|agito|gills|10|
商い|akinai|trade; commerce; business|10|
商う|akinau|sell; deal in; handle|10|
秋の色|akinoiro|autumnal tints|10|
秋晴[れ]|akibare|clear autumnal weather|10|
空き瓶|akibin|empty bottle|10|
空き部屋|akibeya|available room  (hotel)|10|
空き間|akima|vacant room  118549_|10|
空き家|akiya|vacant (empty; unoccupied) house|10|
アキュムレエタア|akyumureetaa|accumulator (in various meanings)|10|
