word|reading|russian translation|english translation|serbian translation|russian mnemonic|english mnemonic|serbian mnemonic|japanese menmonic
一|いち||один|one|један|одна горизонтальная линия — это просто число один|one horizontal line — it’s simply the number one|једна хоризонтална линија — то је број један|一|の横線、それは「一」
一|いち||один|one|један|Один(一) прямой путь, одна линия|One(一) straight path, one line|Један(一) прави пут, једна линија|一(一)の線は、すべての始まり
出る,出す|でる, だす|山|выходить, покидать, вытаскивать|to leave, to go out, to take out|изаћи, напустити, извадити|Долгим и опасным был подъём на гору (山). Но на вершине оказалась ещё одна гора (山) такого же размера. Чуть более длинный средний пик намекает держаться на расстоянии. Тогда мудрый человек уходит.|Long and dangerous was the climb up a mountain (山). Yet, upon reaching the top, another mountain (山) of the same size was discovered. The slightly longer middle peak hints to go away. This is when a wise person leaves.|Дуг и опасан био је успон на планину (山). Али на врху се нашла још једна планина (山) исте величине. Благо дужи средњи врх наговештава да треба отићи. Тада мудра особа одлази.|長く危険な山 (山) 登りの末、頂上で|じ大きさのもう一つの山 (山) が見つかった。わずかに長い中央の峰が「去る時だ」と示している。そこで賢者は立ち去る。
出来る|できる|出, 来|мочь, происходить, быть сделанным|to be able, to happen, to be made|моћи, догодити се, бити направљен|Когда мы ожидаем, что действие принесёт результат, мы говорим, что что-то выйдет(出) из него. Когда мы ожидаем, что что-то случится, мы говорим, что это придёт(来).|When we expect an action to have a result, we say that something will come out(出) of it. When we expect something to happen, we say that it will come(来).|Када очекујемо да радња има резултат, кажемо да нешто изађе(出) из ње. Када очекујемо да се нешто догоди, кажемо да ће то доћи(来).|行動に結果があると期待すると、「何かが出(出)る」と言う。何かが起こると期待すると、「それが来(来)る」と言う。
何|なに, なん|人, 可|что|what|шта|Укусить свой локоть сложно, а локоть соседа проще. Укушенный в недоумении оборачивается и спрашивает: "Что?"|Biting your own elbow is hard. Biting the elbow of someone next to you is easier. The bit| one, confused, turns around and asks: "What?"|Загристи свој лакат је немогуће, али лакат особе поред тебе — сасвим могуће. Онај који је уједен збуњено се окреће и пита: "Шта?"|自分の肘を噛むのは無理だが、隣の人の肘なら簡単。噛まれた人は困惑して振り向き、「何？」と聞
糸|いと||нить, пряжа, волокно|thread, yarn, fiber|нит, предиво, влакно|Отдельные волокна (внизу) скручиваются в спиральный узор (сверху). Хотя некоторые утверждают, что спираль похожа на какашку.|Separate fibers (below) being spun in a spiral pattern on top. Though some claim that the spiral part looks like poop.|Појединачна влакна (доле) се преду у спирални образац (горе). Ипак, неки тврде да спирала личи на измет.|下の繊維が上で渦巻き状に紡がれている。ただし、渦巻き部分がうんこに見えるという説もある
夂|ふゆがしら||движение вниз, медленное действие, следование|descending movement, slow action, following|кретање надоле, споро деловање, праћење|Этот радикал немного похож на руку (又), немного на упрощённую луну (夕), но связан с медленным движением. Можно представить, что это рука, идущая на двух пальцах, что намного медленнее, чем шаги человека.|This radical is a bit similar to a hand (又) and a bit to a contracted moon (夕), but it relates to slow movement. Imagine a hand walking on two fingers, which is much slower than a walking human.|Овај радикал мало подсећа на руку (又), мало на скупљени месец (夕), али је повезан са спорим кретањем. Замисли руку која хода на два прста—знатно спорије од корака човека.|この部首は手 (又) にも、縮んだ月 (夕) にも少し似ているが、ゆっくりした動きを表す。二|の指で歩く手を想像すると、人よりずっと遅く進む。
後,後ろ|あと, うしろ, のち|彳, 夂, 幺|позади, после, позже|behind, after, later|иза, након, касније|Нога связана верёвкой (幺), из-за чего она отстаёт (夂) во время ходьбы (彳).|A foot is bound by a rope (幺), causing it to lag (夂) behind while walking (彳).|Стопало је везано ужетом (幺), због чега заостаје (夂) приликом ходања (彳).|足が縄 (幺) で縛られ、遅れて (夂) 歩く (彳)。
方|ほう, かた||направление, способ, метод, человек|direction, way, method, person|правац, начин, метода, особа|Похоже на человека с выставленным вперёд коленом и широко раскинутыми руками, показывающего дорогу.|Looks like a person with one knee forward and arms stretched wide showing the way.|Личи на особу с једним коленом напред и раширеним рукама, која показује пут.|片膝を前に出し、両腕を広げて道を示している人のように見える。
尺|しゃく, さし||сяку (мера длины), мера, масштаб|shaku (length unit), measure, scale|шак, мера, скала|Рука с двумя вытянутыми пальцами, указывающими единицу измерения.|Hand with two outstretched fingers indicating a unit of measurement.|Рука са два испружена прста који показују јединицу мере.|計測単位を示す二|の指を伸ばした手。
訳|わけ|言, 尺|причина, смысл, перевод|reason, meaning, translation|разлог, значење, превод|Между двумя вытянутыми пальцами находятся слова. Это не для измерения их длины, а чтобы показать часть, которую нужно перевести. Перевод — это осмысление слов, но осмысление событий — это понимание их причины и обстоятельств.|There are words between two outstretched fingers. The reason is not to measure their length, but to show the part that needs to be translated. Translation or interpretation is to make sense of words, but to make sense of events is to understand their reason and circumstances.|Између два испружена прста налазе се речи. Разлог није да се измери њихова дужина, већ да се покаже део који треба превести. Превођење је схватање речи, али схватити догађаје значи разумети њихов разлог и околности.|伸ばした二|の指の間に言葉がある。長さを測るためではなく、訳すべき部分を示すためだ。翻訳とは言葉の意味を理解すること、出来事の意味を理解するのは理由と状況を知ることだ。
小,小さい|しょう, ちいさい||маленький, небольшой|small, little|мали, ситан|Два пальца держат иглу, показывая её кончик. Исторически — три песчинки.|Two fingers holding a needle to show its tip. Historically three grains of sand.|Два прста држе иглу да покажу врх. Историјски — три зрна песка.|二|の指で針を持ち、先端を示している。歴史的には三粒の砂。
当に,当たる,当たり,当てる,当に|とう, あたる, あた, あてる, まさに|小, ⺕|попадать, соответствовать, применять, отвечать за|hit, apply, appropriate, in charge|погодити, применити, одговарати, бити задужен|Три линии сверху — сокращённый 小, указывают на маленькую цель. Рука (⺕) точно попадает в неё — попадание в точку, соответствие.|The three lines on top are a reduced form of 小, indicating a small target. A hand (⺕) hits it exactly—hitting the spot.|Три линије на врху су скраћени облик 小, који означава малу мету. Рука (⺕) тачно погађа у њу—погодак у мету, одговарајуће.|上の三|線は小の簡略形で、小さな目標を示す。手 (⺕) が正確に当たり、適切であることを表す。
本|ほん, もと|木|основа, корень, книга, главный, настоящий|origin, root, book, main, true|основа, корен, књига, главни, прави|Черта внизу дерева (木) отмечает его корень — основу. Книги — это корень знаний, источник информации.|The stroke at the bottom of the tree (木) marks its root—the foundation. Books are the root of knowledge, the source of information.|Црта испод дрвета (木) означава његов корен—основу. Књиге су корен знања, извор информација.|木の下の一画が根を示し、基盤となる。本は知識の根源、情報の源である。
本当|ほんとう|本, 当|правда, истина, реальность|truth, reality, genuine, real|истина, стварност, право|Истина точна (当) и основана на надёжных источниках (本).|Truth is precise (当) and founded on reliable sources (本).|Истина је тачна (当) и заснована на поузданим изворима (本).|真実は正確 (当) で、信頼できる情報源 (本) に基づく。
手|て||рука|hand|рука|У этой руки шесть пальцев, по три с каждой стороны. Этот мнемоник создан ИИ, который не заметил в этом ничего странного. Исторически верхняя черта обозначает согнутый средний палец.|This hand has six fingers, three on each side. This mnemonic was generated by AI, which did not notice anything wrong with that. Historically, the top stroke represents one bent middle finger.|Ова рука има шест прстију, по три са сваке стране. Овај мнемоник је створио ИИ који није приметио ништа чудно. Историјски, горња црта представља савијени средњи прст.|この手には六本の指があり、左右に三本ずつある。このニーモニックは、違和感に気づかないAIによって作られた。歴史的には、上の一画は曲がった中指を表す。
土|つち||земля, почва, грунт|earth, soil, ground|земља, тло|Черта внизу — поверхность земли, сверху — комок глины.|The bottom stroke represents the ground, and the top part is a lump of clay.|Доња црта представља тло, а горњи део је грумен глине.|下の線は地面を表し、上の部分は粘土の塊を示している
寸|すん||сун (мера длины), небольшая часть, степень|sun (length unit), small amount, degree|сун (јединица мере), мали део, степен|Измерение пульса пальцами на 3 см ниже запястья.|Measuring pulse with fingers 3 cm below the wrist line.|Мерење пулса прстима 3 cm испод зглоба.|手首の線から3cm下で指で脈を測る。
寺|てら|寸, 土|храм, буддийский монастырь|temple, Buddhist monastery|храм, будистички манастир|Построить храм требует точного измерения (寸) земли (土) под строительство.|Building a temple requires precise measurement (寸) of the ground (土) to build upon.|Изградња храма захтева прецизно мерење (寸) земље (土) за градњу.|寺を建てるには、建設のための土地 (土) を正確に測る (寸) 必要がある。
扌|||сокращённая форма руки|contracted form of hand|скраћени облик руке|Упрощённое изображение руки  手, используемое в сложных кандзи.|A simplified depiction of a hand  手, used in complex kanji.|Поједностављен приказ руке  手, који се користи у сложеним канджи знацима.|複雑な漢字で使われる手の簡略形。
持つ|もつ|扌, 寺|держать, иметь, обладать|to hold, to have, to possess|држати, имати, поседовати|Храм (寺) держится на отмеренной земле, но также на руках (扌) верующих.|A temple (寺) stands on measured ground, but also on the hands (扌) of believers.|Храм (寺) стоји на измереном тлу, али га такође држе руке (扌) верника.|寺 (寺) は測られた土地の上に建つが、信者の手 (扌) によっても支えられている。
考え,考える|かんがえ,かんがえる|丂, 土|думать, размышлять, обдумывать|to think, to consider|размишљати, промишљати|После прочтения новостей человек серьёзно задумывается свернуться калачиком (丂) и спрятаться под землю (土), но решает не делать этого, поэтому этот вариант зачеркнут.|After reading today’s news, a person seriously considers curling up (丂) and hiding under the ground (土), but decides not to, hence this option is crossed out.|Након читања вести, особа озбиљно разматра да се склупча (丂) и сакрије под земљу (土), али одлучује да то не учини, па је та опција прецртана.|今日のニュースを読んで、人は地面 (土) の下に丸まって (丂) 隠れることを真剣に考えるが、やめることにしたのでその選択肢は消された。
京|きょう|亠, 口, 小|столица|capital city|престоница|Над маленькими (小) домами (口) возвышается большой дворец с крышей (亠) — центр столицы.|Above the small (小) houses (口), a grand palace with a roof (亠) rises—the heart of the capital city.|Изнад малих (小) кућа (口) уздиже се велика палата са кровом (亠) — срце престонице.|小さな家 (口) の上に大きな屋根 (亠) を持つ宮殿がそびえ立つ。それが都の中心。
尤も|もっとも|ナ, 丶, 乚|самый, разумный, естественный, обоснованный|most, reasonable, natural, plausible|највише, разумно, природно, оправдано|Рука (ナ) кладёт наживку (丶) на крючок (乚) — если постараться, разумно ожидать улова.|A hand (ナ) places bait (丶) on a fishhook (乚)—if you do your best, it's reasonable to expect a catch.|Рука (ナ) ставља мамац (丶) на удицу (乚) — ако се потрудиш, разумно је очекивати улов.|手 (ナ) が釣り針 (乚) に餌 (丶) を置く。最善を尽くせば、釣れるのはもっともな
就|しゅう, つく|京, 尤|занимать должность, приступать к работе, следовать, соответствовать|to take a position, to settle in, to conform, to proceed|заузети положај, ступити на дужност, прилагодити се, наставити|Принять должность в столице (京) — наиболее разумный (尤) выбор.|Accepting a position in the capital (京) is the most reasonable (尤) choice.|Прихватање положаја у престоници (京) је најразумнији (尤) избор.|都 (京) で職につくのは最も (尤) 妥当な選択だ。
入|いる, はいる||входить, заходить, вставлять|to enter, to go in, to insert|ући, убацити|Можно увидеть вход в шатёр или высокого человека (人), наклоняющего голову при входе.|Can be seen as the entrance to a |t or as a tall person (人) bending their head to enter.|Може се видети као улаз у шатор или висок човек (人) који савија главу приликом уласка.|テントの入り口、または背の高い人 (人) が頭を下げて入る様子にも見える。
乍|さく, ながら||внезапно, временно, пока, одновременно|suddenly, temporarily, while, at the same time|изненада, привремено, док, истовремено|Исторически — топор внезапно рубит дерево, но теперь больше напоминает пилу с несколькими зубьями, режущими одновременно.|Historically an axe suddenly striking wood, but now it looks more like a saw with multiple teeth cutting at the same time.|Историјски — секира нагло удара дрво, али сада више личи на тестеру са више зуба који истовремено секу.|歴史的には斧が木を突然叩く形だったが、今は複数の歯で|時に切る鋸のように見える。
作る|つくる|亻, 乍|делать, создавать, производить, работать|to make, to create, to produce, to work|правити, стварати, производити, радити|Человек (亻) использует инструмент (乍), чтобы что-то создать.|A person (亻) uses tools (乍) to create something.|Особа (亻) користи алат (乍) да нешто направи.|人 (亻) が道具 (乍) を使って何かを作る。
耳|みみ||ухо|ear|уво|Ухо — это глаз (目) для звука, но немного другой формы.|An ear is like an eye (目) for sound, but with a slightly different shape.|Уво је као око (目) за звук, али мало другачијег облика.|耳は音のための目 (目) のようなものだが、少し形が違う。
聞|きく, きこえる|門, 耳|слышать, слушать, спрашивать|to hear, to lis|, to ask|чути, слушати, питати|Ухо (耳) прислонено к воротам (門), чтобы слушать звуки снаружи.|An ear (耳) is pressed against a gate (門), lis|ing to sounds from outside.|Уво (耳) је прислоњено на капију (門) да слуша звукове споља.|門に耳 (耳) を当てて、外の音を聞く。
聴|きく, ちょう|耳, 心, 十, 罒|внимательно слушать, внимать, подчиняться|to lis| carefully, to heed, to obey|пажљиво слушати, примати к срцу, покоравати се|Есть ухо (耳) и сердце (心) с десятью (十) сетями (罒) или боковыми глазами, показывая, что слушание (聴) — это не просто слышать, а воспринимать всей душой.|There is an ear (耳) and a heart (心) with | (十) nets (罒) or sideways eyes, showing that lis|ing (聴) is not just about hearing, but about perceiving with the whole heart.|Постоји уво (耳) и срце (心) са десет (十) мрежа (罒) или бочним очима, што показује да слушање (聴) није само чути, већ перципирати целим срцем.|耳 (耳) と心 (心) に十 (十) の網 (罒) や横目があり、聴くことは単に聞くことではなく、心で感じ取ることを示している。
呉れる|くれる|口, 其|даровать, пожаловать, давать, царство У|give, bestow, Wu kingdom|дати, даровати, царство Ву|Есть подставка, как в 其, а сверху черта, похожая на спинку стула — это трон. Человек на троне держит коробку для тебя.|There is a stand like in 其, with a chair-like line on top—a throne. The person on the throne has a box for you.|Постоји постоље као у 其, а изнад је линија налик на наслон столице—то је престо. Особа на престолу има кутију за тебе.|其のような台があり、その上に椅子の背もたれのような線がある—それは玉座。玉座に座る人が箱を持っている。
易すい, 易しい|やすい, やさしい|日, 勿|лёгкий, простой, обмен, перемена|easy, simple, exchange, change|лак, једноставан, размена, промена|То, что нельзя (勿) делать, скрыто в темноте, но когда светит солнце (日), их легко (易) заметить.|Things one must not do (勿) may be hidden in the dark, but when the sun (日) shines, they become easy (易) to see.|Оно што се не сме (勿) радити скривено је у мраку, али када сунце (日) засветли, лако (易) га је приметити.|してはいけないこと (勿) は暗闇に隠れているが、太陽 (日) が照ると簡単 (易) に見つけられる
場|ば|土, 易, 一|место, поле, локация, сцена|place, field, location, occasion, scene|место, поље, локација, сцена|Место — это участок земли (土), который легко (易) воспринимается как единое (一) целое.|A location is a section of land (土) that is easily (易) viewed as a single (一) whole.|Локација је део земље (土) који се лако (易) посматра као једна (一) целина.|場所とは、土地 (土) が容易 (易) に一つ (一) のまとまりとして見えるもの。
合う,合|あう, かい|𠆢, 一, 口|соответствовать, совпадать, подходить, объединяться|to fit, to match, to combine, to unite, to agree|уклапати се, одговарати, спојити се, сагласити се|Соломенная шляпа (𠆢) и круг головы (口) идеально подходят друг к другу, создавая единое (一) целое. Купил мужик шляпу а она ему как раз.|The straw hat (𠆢) and the circle of the head (口) fit perfectly, making a single (一) whole. A man bought a hat, and it was just right.|Сламнати шешир (𠆢) и круг главе (口) савршено се уклапају, чинећи једну (一) целину. Човек је купио шешир, и био је баш прави.|菅笠 (𠆢) と頭の丸み (口) がぴったり合い、一つ (一) のものになる。男は帽子を買ったが、それはちょうどよかった。
場合|ばあい|場, 合|случай, обстоятельство, ситуация|situation, case, circumstance|случај, околност, ситуација|Изначально 場 обозначало физическое место, а 合 — то, что в него физически вписывается. Со временем это развилось в абстрактное понятие обстоятельств — 場 как место в смысле ситуационного контекста, где определённые условия или события совпадают (合).|Originally, 場 referred to a physical location, and 合 to something physically fitting into it. Over time, this evolved into an abstract concept of circumstance— 場 as a place in the sense of a situational context where certain conditions or events fit or match (合).|Првобитно је 場 означавало физичку локацију, а 合 нешто што се у њу физички уклапа. Временом се то развило у апстрактан појам околности — 場 као место у смислу ситуационог контекста где се одређени услови или догађаји поклапају (合).|元々、場は物理的な場所を指し、合はそこに物理的に適合するものを意味した。やがて、これは抽象的な「状況」という概念へと発展し、場は状況の文脈としての「場」、合はそこに条件や出来事が合うことを示すようになった。
千|せん|十|тысяча|thousand|хиљаду|К десяти (十) добавлена третья линия, наклонённая, так как она уходит в третье измерение. Куб 10×10×10 даёт тысячу (千).|A third line is added to | (十), slanted because it ex|ds into the third dimension. A cube of 10×10×10 makes a thousand (千).|Десетци (十) је додата трећа линија, нагнута јер се протеже у трећу димензију. Kоцка 10×10×10 чини хиљаду (千).|十 (十) に三本目の線が追加され、傾いているのは三次元に伸びているから。10×10×10 の立方体で千 (千) になる。
舌|した|千, 口|язык (орган)|tongue|језик (орган)|Проверили тысячу (千) ртов (口), и в каждом был язык.|Checked a thousand (千) mouths (口), and every one of them contained a tongue.|Прегледано је хиљаду (千) уста (口), и у свима се налазио језик.|千 (千) の口 (口) を調べたら、すべてに舌があった。
話す, 話|はなす, はなし|言, 舌|говорить, разговор, рассказ|to speak, to talk, conversation, story|говорити, разговор, прича|С помощью языка (舌) и слов (言) человек говорит (話) и рассказывает истории длиной в тысячу слов.|With a tongue (舌) and words (言), one speaks (話) and tells stories a thousand words long.|Језиком (舌) и речима (言) човек говори (話) и прича приче дуге хиљаду речи.|舌 (舌) と言葉 (言) で、人は話し (話) をし、千語の物語を語る。
女|おんな||женщина, женский|woman, female|жена, женски|Исторически пиктограмма женщины с грудью.|Historically a pictogram of a woman with breasts.|Историјски, пиктограм жене са грудима.|歴史的に、胸のある女性が立っているか跪いている姿の象形文字。
妻|つま|女|жена, супруга|wife|супруга|В руке кисть, похожая на ту, что в 事, показывая, что отношения с женщиной фиксированы в документах.|There is a brush in hand similar to the one in 事, indicating that the relationship with the woman is written down in documents.|У руци је четкица, слична оној у 事, што указује на то да су односи са женом записани у документима.|手には 事 の筆のようなものがあり、女性との関係が書類に記されていることを示している。
水|みず||вода|water|вода|Вода расплескалась в разные стороны.|Water splashed in different directions.|Вода се прснула у различитим правцима.|水がいろいろな方向に飛び散った。
氷|こおり|水, 丶|лёд|ice|лед|Добавьте к воде (水) щепотку (丶) отрицательной температуры, и она превратится в лёд.|Add a pinch (丶) of negative temperature to water (水), and it becomes ice.|Додајте води (水) прстохват (丶) негативне температуре, и она ће се претворити у лед.|水 (水) に少し (丶) マイナスの温度を加えると、氷になる。
冫|(no standalone reading)|氷|сокращённое написание льда|contracted form of "ice"|скраћени запис за "лед"|Упрощённый вариант 氷, как лёд, сжатый в две полоски.|A simplified form of 氷, like ice compressed into two strokes.|Поједностављени облик 氷, као лед сажет у две линије.|氷 を簡略化した形で、二本の線に圧縮された氷のよう。
凄い,凄まじい|すごい,すさまじい|冫, 妻|удивительный, страшный, потрясающий|amazing, dreadful, awful, terrific|невероватно, застрашујуће, потресно|Лицо жены (妻) с холодным, как лёд (冫), выражением. Ужасающе.|A wife's (妻) face has a cold as ice (冫) expression. Terrifying.|Лице супруге (妻) има израз хладан као лед (冫). Застрашујуће.|妻 (妻) の顔が氷のように冷たい (冫)。恐ろしい。
官|かん|宀|чиновник, бюрократ, государственный служащий|bureaucrat, government official|бирократа, државни службеник|Бюрократ с большим животом работает под крышей (宀).|Bureaucrat with a big belly working under a roof (宀).|Бирократа са великим стомаком ради под кровом (宀).|大きなお腹の官僚が屋根の下 (宀) で働いている。
遣る|やる|⻌, 官|отправлять, посылать, расходовать, дарить, выполнять|dispatch, send, expend, conduct, give|послати, трошити, извршити, даривати|Бюрократа (官) отправляется по дороге (⻌), чтобы доставить подарок, выполнить приказ или распределить ресурсы.|A bureaucrat (官) is sent down the road (⻌) to deliver a gift, carry out a mission, or expend resources.|Бирократа (官) је послат низ пут (⻌) да испоручи поклон, изврши задатак или управља ресурсима.|官僚 (官) が道 (⻌) を進み、贈り物を届け、任務を果たし、資源を費やす。
丈|じょう, たけ, だけ||рост, длина, только|length, height, only|висина, дужина, само|Мужчина с вытянутыми руками делает большой выпад, пытаясь показать расстояние[たけ] 3,03 м (じょう), но может достать только [だけ] так далеко.|A man with stretched arms makes a big lunge, trying to show you a 3.03m [じょう] distance [たけ], yet only [だけ] able to reach that far.|Човек са испруженим рукама прави велики искорак, покушавајући да покаже раздаљину од 3,03 м [じょう], висину [たけ], али може досегнути само [だけ] тако далеко.|両腕を伸ばした男が大きく踏み出し、3.03メートル [じょう] の距離 [たけ] を示そうとするが、そこまでしか [だけ] 届かない。
史|し|中|история, хроника, официальный летописец|history, chronicle, official|историја, хроника, службени летописац|Выпад (丈), но с развёрнутым свитком, и это очень длинный свиток, описывающий историю.|A lunge (丈), but with an unfurled scroll—it's a very long scroll describing history.|Искорак (丈), али са одмотањем свитка—то је веома дугачак свитак који описује историју.|丈 (丈) の動き、しかし巻物を広げていて、それは歴史を記すとても長い巻物。
吏|り|史, 丈|чиновник, государственный служащий|official, government officer|званичник, државни службеник|В отличие от 史, этот человек вытягивает руки, показывая, насколько он важен—это чиновник с документом, подтверждающим его статус.|Unlike 史, this person stretches their arms to show how important they are—an official with a document confirming their status.|За разлику од 史, ова особа пружа руке да покаже колико је важна—званичник са документом који потврђује његов статус.|史 (史) とは異なり、この人は両腕を広げ、自分の重要性を示す—公的な地位を証明する書類を持つ官吏。
使い, 使う|つかい, つかう|人, 吏|использовать, применять, посыльный|to use, to employ, messenger, errand|користити, запослити, гласник|Чиновник (吏) должен служить людям (人), выполняя их поручения и будучи использованным для их нужд.|An official (吏) is supposed to serve the people (人), carrying out their tasks and being put to use.|Званичник (吏) треба да служи људима (人), извршавајући њихове налоге и испуњавајући њихове потребе.|官吏 (吏) は本来、人々 (人) に仕え、彼らの用事をこなすべき存在。
虫|むし||насекомое, жук, червь|insect, bug, worm|инсект, буба, црв|Изначально змея, но теперь обозначает любых мелких ползающих или летающих существ.|Originally a snake, but now used for all small crawling and flying creatures.|Првобитно је значило змију, али сада означава све мале гмизавце и летеће створове.|もともとは蛇だったが、今では小さな這うものや飛ぶ生き物を指す
前|まえ|月, 刂|перед, раньше, до|before, in front, previous|испред, пре|Ты стоишь перед мясной лавкой. Перед приготовлением мясо (月) разрезают мечом (刂), отделяя рога (верхняя часть).|You stand in front of a meat stall. Before cooking, the meat (月) is cut with a sword (刂), detaching the horns (on top).|Стојиш испред месаре. Пре кувања месо (月) се сече мачем (刂), одвајајући рогове (горњи део).|肉屋の前 (前) に立つ。調理の前に、肉 (月) は剣 (刂) で切られ、角 (上の部分) を取り除く。
風|かぜ, ふう|几, 虫|ветер, стиль, манера|wind, style, manner, appearance|ветар, стил, понашање, изглед|Когда дует сильный ветер [かぜ], стиль/манера/способ [ふう] поведения насекомого (虫) — цепляться за палочку и прятаться под столом (几).|When strong wind [かぜ] blows, the insect’s style/manner/way ([ふう]) of behavior is to attach itself to a stick and hide under a table (几).|Када дува јак ветар [かぜ], начин [ふう] понашања инсекта (虫) је да се прилепи за гранчицу и сакрије испод стола (几).|強い風 [かぜ] が吹くと、虫 (虫) の風 [ふう] な行動は棒にしがみつき、几 (几) の下に隠れること。
多い|おおい|夕|много, многочисленный|many, numerous, much|много, бројан|Одна сокращённая луна (夕) — это нормально, но две (夕) — это уже слишком много.|One contracted moon (夕) is normal, but two (夕) is already too many.|Један сажети месец (夕) је нормалан, али два (夕) су већ превише.|一つの省略された月 (夕) は普通だが、二つ (夕) あると多すぎる。
子|こ||ребёнок, дитя, потомок|child, offspring, young|дете, потомак|Изображение младенца с большой головой и раскинутыми руками.|An image of a baby, with a large head and spread arms.|Слика бебе са великом главом и раширеним рукама.|大きな頭と広げた腕を持つ赤ちゃんの姿。
共|とも|艹, 一, 八|вместе, общий, делить|together, both, share, common|заједно, заједничко, делити|Трава (艹) над землёй (一), а под землёй восемь (八) спутанных корней, растущих вместе.|Grass (艹) above the ground (一), and underground, eight (八) tangled roots growing together.|Трава (艹) изнад земље (一), а испод осам (八) запетљаних корена који расту заједно.|地面 (一) の上には草 (艹) が生え、地下には八つ (八) の絡み合った根が一緒に育っている
供する, 供, お供する, 供える|きょうする, とも, おともする, そなえる|人, 共|подавать, предлагать, обеспечивать, сопровождать, приносить в жертву|submit, offer, provide, accompany, follow, sacrifice|понудити, пратити, обезбедити, жртвовати|Люди (人) склонны работать вместе (共) и становиться спутниками, когда у них есть, что предложить друг другу.|People (人) are likely to work together (共) and become companions when they both have something to offer each other.|Људи (人) имају тенденцију да раде заједно (共) и постану сапутници када имају шта да понуде једни другима.|人々 (人) は共に (共) 何かを提供できるとき、一緒に働き、仲間となる。
子供|こども|子, 供|ребенок, дети|child, children|дете, деца|Это слово стало распространённым для обозначения детей (子), потому что родители предлагают (供) им заботу и поддержку, пока они растут.|This word became common for children because parents offer (供) them care and support as they grow (子).|Ова реч је постала уобичајена за децу (子), јер им родитељи пружају (供) негу и подршку док расту.|この言葉は子供 (子) を指すようになったのは、親が世話 (供) をしながら育てるから。
非, 非ず|ひ, あらず||не-, ошибка, несправедливость, отсутствие|not, un-, wrongdoing, injustice, absence|не-, грешка, неправда, одсуство|Стена из нескольких горизонтальных деревянных брусьев, и есть пробел—пространство, где стены нет, оно было оставлено по ошибке.|A wall made of several horizontal wooden bars, and there's a gap—a space where the wall is absent, it was left by mistake.|Зид од неколико хоризонталних дрвених греда, и постоји празнина—простор где зида нема, остављен грешком.|水平の木の棒で作られた壁があり、そこに隙間がある—壁が存在しない空間、それは間違えて残されたものだ。
巾|きん, ちきり, はば||ткань, полотенце, ширина, знамя|cloth, towel, width, banner|тканина, пешкир, ширина, застава|Пиктограмма свисающего куска ткани, когда ткань подвешена, её ширина становится видна.|A pictogram of a hanging piece of cloth—when cloth is hung, its width can be seen.|Пиктограм висећег комада тканине—када се тканина окачи, њена ширина постаје видљива.|垂れ下がった布の象形文字—布が掛かると、その幅が見える。
尚|なお|冂, 口, 小|ещё, всё ещё, возвышенный|still, yet, esteem, elevate|још, и даље, узвишен|Маленькие (小) струйки дыма поднимаются через отверстие (口) в перевёрнутом коробе (冂); можно долго смотреть, дым всё ещё выходит.|Small (小) wisps of smoke rise through a vent (口) in an upside-down box (冂); no matter how long you watch, there is still more.|Мали (小) димови струје кроз отвор (口) у преврнутом сандуку (冂); колико год гледао, дима и даље има.|小 (小) さな煙が逆さまの箱 (冂) の通気口 (口) から上がり、どれだけ見てもまだ (尚) 立ち続ける
常,常,常しえ|つね, とわ, とこしえ|巾, 口, 冖, 尚|всегда, постоянный, обычный, вечность|always, constant, usual, eternity|увек, сталан, обичан, вечност|Ткань (巾) и рот (口) напоминают человечка, проводящего обычный [つね] день под крышей (冖). Прошло много таких дней, и впереди ещё (尚) бесчисленное множество — это кажется вечностью [とわ].|Cloth (巾) and mouth (口) form a stick figure of a person spending a usual [つね] day under a roof (冖). Many such days have passed, and still (尚) many more to come—it feels like eternity [とわ].|Тканина (巾) и уста (口) подсећају на фигуру особе која проводи уобичајен [つね] дан под кровом (冖). Прошло је много таквих дана, а још (尚) их је много пред нама—то изгледа као вечност [とわ].|布 (巾) と口 (口) が棒人間のように見え、屋根 (冖) の下で普通の [つね] 一日を過ごす。多くの日が過ぎ、まだ (尚) たくさん残っている、それはまるで永遠 [とわ] のように感じる。
非常|ひじょう|非, 常|чрезвычайный, экстренный, необычный|emergency, extraordinary, unusual, extreme|ванредан, екстреман, неуобичајен|В обычном (常) ходе жизни появляется разрыв (非) — это что-то необычное, экстренное!|A break (非) in the flow of normal (常) life—something unusual, extraordinary, or even an emergency.|У уобичајеном (常) току живота појављује се празнина (非) — ово је нешто неуобичајено, хитно!|普通の (常) 流れに穴 (非) が空く—これは異常な事態だ！
気|き|气|дух, воздух, энергия, настроение|spirit, air, energy, mood, atmosphere|дух, ваздух, енергија, расположење|Сокращённый человек поднимается как пар (气) от горячего риса (米), как призрак или дух, наполняющий воздух энергией.|A ghostly person (𠆢) rises like steam (气) from hot rice (米), drifting through the air as spirit and energy.|Сабласна особа (𠆢) диже се као пара (气) са врелог пиринча (米), лебдећи ваздухом као дух и енергија.|省略された人 (𠆢) が湯気 (气) のようにご飯 (米) から立ち上がり、空気に霊気を漂わせる。
