再 |さい |re-; again |N/A
除外 |じょがい |exception; exclusion |N/A
助言 |じょげん |advice; counsel; suggestion; tip; hint |N/A
徐行 |じょこう |going slowly (esp. to enable a vehicle to stop immediately); going at a reduced speed; slowing down; reducing speed |N/A
女子 |じょし |woman; girl |2510
女史 |じょし |[1] lady (of high social status; e.g. scholar, artist, critic, politician) [2] Ms; Mrs; Miss |N/A
助詞 |じょし |particle; postpositional word in Japanese grammar that functions as an auxiliary to a main word |N/A
自立 |じりつ |independence; self-reliance |3569
人 |じん |[1] -ian (e.g. Italian); -ite (e.g. Tokyoite) [2] -er (e.g. performer, etc.); person working with ... [3] man; person; people |N/A
人格 |じんかく |personality; character; individuality; personhood |4762
人材 |じんざい |[1] capable person; talented person [2] human resources; personnel |3560
迅速 |じんそく |quick; fast; rapid; swift; prompt; streamlined; expedited; expeditious |4703
人民 |じんみん |the people; citizens; the populace |N/A
水源 |すいげん |[1] source of river; fountainhead [2] Suigen |N/A
推進 |すいしん |[1] propulsion; drive [2] promotion (of a policy, project, movement, etc.); furtherance; advancement; pushing forward |965
水洗 |すいせん |washing with water; rinsing; flushing |N/A
吹奏 |すいそう |playing (a wind instrument); blowing |N/A
推測 |すいそく |guess; conjecture |3747
水田 |すいでん |(water-filled) paddy field |N/A
推理 |すいり |[1] reasoning; inference; deduction [2] mystery genre; detective genre |N/A
数詞 |すうし |numeral |N/A
崇拝 |すうはい |worship; adoration; admiration; cult |N/A
据え付ける |すえつける |to install; to equip; to mount |N/A
据える |すえる |[1] to place (in position); to fix; to set (e.g. table); to lay (foundation) [2] to install; to seat (someone) [3] to settle (upon something); to fix (e.g. one's gaze) |4803
清々しい |すがすがしい |refreshing (e.g. feeling, scene, wind, morning air); brisk; bracing; fresh; refreshed |N/A
過ぎ |すぎ |[1] past; after [2] too (much); over- (e.g. eating) |N/A
救い |すくい |[1] help; rescue; aid; relief [2] salvation; solace; (source of) comfort; saving grace [3] (religious) salvation; (Christian) grace |N/A
掬う |すくう |to scoop; to ladle out |N/A
直ぐ |すぐ |[1] immediately; at once; right away; directly [2] soon; before long; shortly [3] easily; readily; without difficulty |221
健やか |すこやか |vigorous; healthy; sound |N/A
濯ぐ |すすぐ |[1] to rinse; to wash out [2] to have one's revenge; to wipe out a disgrace |N/A
進み |すすみ |progress |N/A
勧め |すすめ |recommendation; advice; suggestion; encouragement |N/A
裾 |すそ |[1] hem; (trouser) cuff; shirttail; bottom (of a kimono); train (of a dress) [2] bottom part; bottom edge [3] foot (of a mountain) |N/A
|スタジオ |studio |4350
廃れる |すたれる |[1] to go out of use; to become obsolete; to die out; to go out of fashion; to go out of style [2] to decline (e.g. of morals); to be lost; to go into decline (of a town, business, etc.) |N/A
|スチーム |steam |N/A
|ストライキ |strike (i.e. industrial action) |N/A
|ストレス |stress |1148
|ストロボ |[1] stroboscope; strobe lamp; stroboscopic lamp [2] (camera) flash |N/A
|ストロー |[1] drinking straw [2] straw |N/A
|すばしっこい |[1] quick; nimble; agile [2] sharp; shrewd; smart; quick-witted |N/A
素早い |すばやい |[1] quick; swift; nimble; agile [2] quick (understanding, judgement, etc.); alert; prompt |3423
|スピード |speed |1975
|スプリング |[1] (coil) spring [2] spring (season) [3] light overcoat (worn in spring and autumn); topcoat |N/A
|スペース |[1] space; room [2] space (between letters, words, etc.) [3] space (piece of type) |2662
|スポーツカー |sports car |N/A
済ます |すます |[1] to finish; to get it over with; to conclude [2] to settle; to pay back [3] to get along (without something); to make do with (without) |N/A
澄ます |すます |[1] to clear; to make clear [2] to be unruffled; to look unconcerned; to feign indifference [3] to look demure; to look prim; to put on airs |N/A
|スラックス |slacks |N/A
刷り |すり |printing |N/A
すれ違い |すれちがい |[1] passing each other [2] missing (meeting) each other; failing to meet [3] (being at) cross purposes; discrepancy; disagreement |N/A
擦れる |すれる |[1] to rub; to chafe [2] to wear out; to become worn [3] to lose one's innocence; to become sly |N/A
|すんなり |[1] slim; slender; lithe; supple [2] smoothly; without resistance; without trouble; without difficulty; without dissent; easily; readily |N/A
|ズバリ |[1] decisively; decidedly; boldly; once and for all; unreservedly; frankly [2] precisely; exactly |N/A
ずぶ濡れ |ずぶぬれ |dripping wet; soaked; drenched |N/A
|ずらっと |in a line; in a row |N/A
|ずるずる |[1] (dragging a large or heavy item) slowly [2] (falling) little by little; (slipping) gradually; (drawing back) slowly; with a slither [3] on and on; while putting off; slovenly; interminably |N/A
|ずれ |[1] gap; lag; slippage [2] difference; discrepancy [3] shear (e.g. shear stress) |N/A
|ずれる |to slide; to slip off; to get dislocated; to be out of alignment; to get dislodged; to deviate; to shift (position); to be out of sync; to be slightly off; to be off-point |4008
制 |せい |system; organization; organisation; imperial command; laws; regulation; control; government; suppression; restraint; holding back; establishment |703
製 |せい |make; manufacture; -made; made of ...; made in ... |N/A
成果 |せいか |(good) result; outcome; fruits (of one's labors); product; accomplishment |1964
正解 |せいかい |[1] correct answer; right solution; correct interpretation [2] right decision; right choice; appropriate judgement |4632
正規 |せいき |regular; normal; formal; legal; established; legitimate |N/A
正義 |せいぎ |[1] justice; right; righteousness [2] correct meaning; correct explanation |4776
生計 |せいけい |livelihood; living |N/A
政権 |せいけん |(political) administration; political power |N/A
精巧 |せいこう |elaborate; delicate; exquisite |N/A
政策 |せいさく |political measures; policy |2424
清算 |せいさん |[1] (financial) settlement; squaring accounts; clearing debts [2] liquidation [3] ending (a relationship); breaking up (with); burying (the past); redeeming (one's faults) |N/A
星座 |せいざ |[1] constellation [2] astrological sign; star sign; zodiac sign |N/A
青春 |せいしゅん |youth; adolescence; springtime of life |N/A
聖書 |せいしょ |Bible; the Scriptures; Holy Writ |3034
誠実 |せいじつ |sincere; honest; faithful |N/A
成熟 |せいじゅく |maturity; ripeness |N/A
清純 |せいじゅん |purity; innocence |N/A
正常 |せいじょう |normal; regular |4067
制する |せいする |[1] to hold back (e.g. emotions); to rein in (e.g. a horse, unruly people); to bridle [2] to get the better of [3] to control; to command |N/A
整然 |せいぜん |orderly; regular; systematic; well-organized; well-organised; trim; tidy; accurate |N/A
盛装 |せいそう |dressing up in fine clothes; splendid clothes; one's best clothes |N/A
盛大 |せいだい |[1] grand; magnificent; lavish; large scale; prosperous; thriving; lively [2] forceful; powerful; vigorous |N/A
清濁 |せいだく |[1] good and evil; purity and impurity [2] voiced and unvoiced consonants |N/A
制定 |せいてい |enactment; establishment; creation |3258
静的 |せいてき |static |N/A
製鉄 |せいてつ |iron manufacture |N/A
晴天 |せいてん |fine weather (i.e. little or no clouds); fair weather; clear weather; clear sky; fair skies |N/A
正当 |せいとう |just; justifiable; right; due; proper; equitable; reasonable; legitimate; legal; lawful |N/A
成年 |せいねん |adult age; majority |N/A
征服 |せいふく |[1] conquest; subjugation [2] overcoming (a difficulty); conquering (e.g. a mountain); mastery (of a skill) |N/A
制服 |せいふく |uniform |4530
製法 |せいほう |manufacturing method; recipe; formula |N/A
精密 |せいみつ |precise; exact; detailed; accurate; minute; close |N/A
姓名 |せいめい |(full) name; family name and given name |N/A
声明 |せいめい |declaration; statement; proclamation |N/A
制約 |せいやく |limitation; restriction; condition; constraints |4033
生理 |せいり |[1] physiology [2] menstruation; one's period |N/A
勢力 |せいりょく |influence; power; might; strength; potency; force; energy |4470
整列 |せいれつ |standing in a row; forming a line; alignment |N/A
急かす |せかす |to hurry (up); to urge on; to press; to rush |N/A
倅 |せがれ |[1] son [2] punk; brat [3] penis |N/A
責務 |せきむ |duty; obligation |N/A
|セクション |section |N/A
世辞 |せじ |flattery; compliment |N/A
世帯 |せたい |household; home; family; housekeeping |4754
世代 |せだい |generation |1952
切開 |せっかい |incision; operation; section |N/A
|セックス |[1] sex; sexual intercourse [2] (one's) sex; gender |3538
接触 |せっしょく |touch; contact; touching |3754
設置 |せっち |[1] establishment; institution [2] installation (of a machine or equipment) |1199
折衷 |せっちゅう |compromise; cross; blending; eclecticism |N/A
設定 |せってい |[1] establishment; creation; posing (a problem); setting (movie, novel, etc.); scene [2] options setting; preference settings; configuration; setup |854
説得 |せっとく |persuasion |3344
節 |せつ |[1] occasion; time [2] section (of a literary work or piece of music); passage; paragraph; verse; stanza [3] clause |N/A
接続詞 |せつぞくし |conjunction |N/A
切ない |せつない |[1] painful; heartrending; trying [2] oppressive; suffocating; miserable |N/A
設立 |せつりつ |[1] establishment; founding [2] incorporation (of a business) |2152
攻め |せめ |[1] attack; offence; offense; assault [2] top (dominant partner of a homosexual relationship) [3] barrage (of); flood (of) |N/A
|セレモニー |ceremony |N/A
仙 |せん |[1] hermit; wizard [2] wizardry |N/A
繊維 |せんい |fibre; fiber |N/A
選挙 |せんきょ |election |2708
宣教 |せんきょう |religious mission; religious proclamation |N/A
宣言 |せんげん |declaration; proclamation; announcement |3510
先行 |せんこう |[1] going ahead; going first [2] preceding; coming before; being ahead (e.g. of the times); occurring first; happening prior [3] scoring first; getting off to a lead |N/A
選考 |せんこう |selection; choice; screening |N/A
戦災 |せんさい |war damage |N/A
専修 |せんしゅう |specialization; specialisation |N/A
|センス |taste (in fashion, music, etc.); sense (e.g. of humour); flair |4746
潜水 |せんすい |diving; submerging; going underwater |N/A
先代 |せんだい |[1] previous generation (of a family); previous head of the family; one's (late) father [2] predecessor [3] previous age; previous generation |N/A
先だって |せんだって |the other day; some time ago; recently |N/A
先着 |せんちゃく |arriving first |N/A
先天的 |せんてんてき |[1] inborn; innate; inherent; congenital; hereditary [2] a priori |N/A
戦闘 |せんとう |battle; fight; combat |N/A
潜入 |せんにゅう |infiltration; sneaking in; going undercover |N/A
船舶 |せんぱく |vessel; ship; shipping; seacraft |N/A
専用 |せんよう |[1] (one's) exclusive use; private use; personal use [2] dedicated use; use for a particular purpose [3] exclusive use (of particular products); using only (e.g. a certain brand); using solely |N/A
占領 |せんりょう |[1] occupying; having (an area) all to oneself [2] military occupation; possession; capture; seizure |N/A
戦力 |せんりょく |[1] war potential; military strength; fighting power [2] ability (to compete); capabilities; valuable asset |N/A
|セール |[1] sale [2] Sale (Australia); Sayle; Serre; Serres |N/A
税務署 |ぜいむしょ |tax office |N/A
是正 |ぜせい |correction; revision; redressing; rectifying |N/A
絶版 |ぜっぱん |out of print |N/A
絶望 |ぜつぼう |despair; hopelessness |N/A
|ゼリー |[1] jello; jelly; gelatin dessert [2] gel; jelly |N/A
前 |ぜん |[1] last (i.e. immediately preceding); previous; ex-; former [2] pre- (e.g. premodern) [3] before |N/A
禅 |ぜん |[1] dhyana (profound meditation) [2] Zen (Buddhism) |N/A
膳 |ぜん |[1] small dining table (usu. for a single person); serving tray (with legs) [2] meal; food; serving [3] counter for bowlfuls of rice |N/A
全快 |ぜんかい |complete recovery of health |N/A
全盛 |ぜんせい |height of prosperity |N/A
前提 |ぜんてい |[1] condition; assumption; prerequisite; hypothesis [2] intention; intent; aim; goal [3] premise |1800
全滅 |ぜんめつ |[1] total destruction; complete destruction; annihilation; being wiped out [2] total defeat; complete failure |N/A
善良 |ぜんりょう |good (person, nature, etc.); good-natured; virtuous; honest |N/A
前例 |ぜんれい |precedent |N/A
沿う |そう |[1] to run along; to run beside; to stick to (a line) [2] to follow (a policy, plan, etc.); to act in accordance with; to align with [3] to meet (wishes, expectations, etc.); to satisfy; to comply with; to live up to |2097
添う |そう |[1] to meet (wishes, expectations, etc.); to satisfy; to comply with; to live up to [2] to accompany; to go with; to stay by one's side [3] to associate with (someone); to mix with |N/A
僧 |そう |[1] monk; priest [2] sangha (the Buddhist community) |N/A
総 |そう |whole; total; gross; entire; overall; general (election, manager, etc.) |N/A
相応 |そうおう |[1] suitable; appropriate; befitting; becoming; adequate; reasonable; proper [2] conjoining; association; samprayukta |N/A
総会 |そうかい |general meeting |N/A
早急 |そうきゅう |immediate; prompt; quick; rapid; urgent; pressing |N/A
総合 |そうごう |[1] synthesis; combination; integration; putting together [2] general; combined; composite; mixed; integrated; comprehensive [3] synthesis; colligation |N/A
捜査 |そうさ |search (esp. in criminal investigations); investigation; inquiry; enquiry |3775
捜索 |そうさく |[1] search (esp. for someone or something missing); manhunt [2] legally authorized search of a person, building, etc. |N/A
装飾 |そうしょく |ornament; decoration |N/A
創造 |そうぞう |[1] creation [2] Creation (by God) |4251
壮大 |そうだい |magnificent; grand; majestic; splendid |N/A
騒動 |そうどう |[1] riot; rebellion; turmoil; strife [2] (media) uproar; brouhaha; (public) outcry; scandal; controversy [3] feud; tussle; quarrel; dispute |N/A
遭難 |そうなん |(meeting with) disaster; (having an) accident; mishap; shipwreck; distress |N/A
相場 |そうば |[1] market price [2] speculation (e.g. on stocks) [3] reputation (according to conventional wisdom); estimation; esteem |N/A
装備 |そうび |equipment |N/A
創立 |そうりつ |establishment; founding; organization; organisation |N/A
添える |そえる |[1] to garnish; to accompany (as a card does a gift) [2] to add to as support; to prop up [3] to accompany (as an aid, guide, translator, etc.) |2780
即座に |そくざに |immediately; right away; on the spot |N/A
促進 |そくしん |promotion; acceleration; encouragement; facilitation; spurring on |1889
即する |そくする |to conform to; to agree with; to be adapted to; to be based on |N/A
側面 |そくめん |[1] side; flank; profile; sidelight; lateral [2] aspect; dimension |3083
損なう |そこなう |[1] to harm; to hurt; to injure; to damage; to spoil; to mar; to ruin [2] to fail to do; to do amiss; to miss one's opportunity to do [3] to almost do; to come close to doing |N/A
其処ら |そこら |[1] around there; that area [2] that; that matter; that point [3] about that much; approximately that amount; thereabouts; (or) so |N/A
素材 |そざい |[1] ingredient; (raw) material; resource [2] unprocessed timber; raw timber [3] subject matter; topic |2151
阻止 |そし |obstruction; prevention; hindrance; check; blocking; stopping |N/A
訴訟 |そしょう |lawsuit; suit; (legal) action; litigation |4426
育ち |そだち |[1] growth; breeding [2] growing up (in, as); upbringing |N/A
措置 |そち |measure; step; action |1922
|ソックス |socks |N/A
素っ気ない |そっけない |cold; short; curt; blunt |N/A
外方 |そっぽ |the other way |N/A
備え付ける |そなえつける |to provide; to furnish; to equip; to install |N/A
備わる |そなわる |[1] to be furnished with; to be provided with; to be equipped with [2] to be possessed of; to be endowed with; to be gifted with [3] to be among; to be one of |N/A
園 |その |[1] garden; orchard; park [2] place; world; environment |N/A
聳える |そびえる |to rise (of a building, mountain, etc.); to tower; to soar |N/A
素朴 |そぼく |simple; artless; naive; unsophisticated |N/A
染まる |そまる |[1] to be dyed [2] to be tainted; to be infected; to be stained; to be steeped |N/A
背く |そむく |to run counter to; to go against; to disobey; to infringe |N/A
染める |そめる |to dye; to colour; to color |4095
逸らす |そらす |[1] to turn away (one's eyes, face, etc.); to avert; to divert (e.g. one's attention); to evade (e.g. a question); to change (e.g. the subject) [2] to displease; to annoy; to offend; to upset [3] to miss (the target, ball, etc.) |N/A
反り |そり |[1] warp; curvature; bend; arch [2] curve (of a sword) |N/A
それ故 |それゆえ |therefore; for that reason; so; because of that |4263
|ソロ |[1] solo [2] Solo |N/A
揃い |そろい |[1] set; suit; uniform collection; matching items [2] entirely; all; every one; nothing but |N/A
損失 |そんしつ |loss (of assets, profit, etc.) |N/A
|ソース |[1] sauce [2] Worcestershire sauce |3062
沿い |ぞい |along (a river, coast, railway, etc.); on (e.g. a street) |N/A
像 |ぞう |[1] image; figure; statue; picture; portrait [2] figure; form; shape; appearance [3] image |4508
雑木 |ぞうき |various kinds of small trees; assorted trees |N/A
蔵相 |ぞうしょう |Minister of Finance |N/A
増進 |ぞうしん |promoting; increase; advance |N/A
|ぞんざい |rough; careless; slovenly; slipshod; rude; impolite |N/A 
